"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.311887847E0,-3.557409525E0,1.338508427E-1,1.026454163E1
9.411887847E0,-3.851148367E0,-2.690558910E0,1.012433052E1
9.511887847E0,-8.405069351E0,-3.646818161E0,1.007577324E1
9.611887847E0,2.602197886E0,2.568529606E0,5.553350925E0
9.711887847E0,-3.368866205E0,4.474164546E-1,9.584363937E0
9.811887847E0,-5.519382954E-1,-3.081936121E0,1.417801380E1
9.911887847E0,-1.146209145E1,4.592153549E0,-2.981454372E0
1.001188785E1,-5.312883258E-1,-3.747225046E0,1.201410389E1
1.011188785E1,1.235333204E0,-3.725228310E-1,7.187542915E0
1.021188785E1,-1.931148171E0,3.480570614E-1,8.551415443E0
1.031188785E1,5.297844410E0,-3.959037066E0,7.510236740E0
1.041188785E1,2.333598435E-1,-3.286565542E0,1.334498119E1
1.051188785E1,-4.866289616E0,9.265560508E-1,5.558588028E0
1.061188785E1,1.136497632E-1,-2.902745008E0,7.400028706E0
1.071188785E1,-3.094430923E0,-5.472247124E0,1.515043354E1
1.081188785E1,7.206622124E0,-1.784578085E0,1.228973675E1
1.091188785E1,4.452541828E0,-8.020575345E-2,1.101594639E1
1.101188785E1,1.810166121E0,2.703203261E-1,8.541314125E0
1.111188785E1,-9.231144190E-1,-7.946504951E-1,1.014527988E1
1.121188785E1,-2.128145933E0,2.066420555E0,6.564601898E0
1.131188785E1,-5.949666023E0,1.015665293E0,7.150657654E0
1.141188785E1,-6.564975739E0,9.189993739E-1,7.283909798E0
1.151188785E1,-2.755501747E0,-4.281580925E0,1.301757431E1
1.161188785E1,-1.621622682E0,1.065569401E0,9.220893860E0
1.171188785E1,-1.093327165E0,-1.047163963E0,9.545457840E0
1.181188785E1,2.576759458E-1,-5.225644588E0,9.454104424E0
1.191188785E1,-1.608604193E-2,6.294506192E-1,5.749151707E0
1.201188785E1,3.010110140E0,3.343951702E0,6.898368359E0
1.211188785E1,3.698443174E0,3.133486271E0,5.876867294E0
1.221188785E1,1.089286923E0,1.563264132E0,1.292023468E1
1.231188785E1,1.190591574E0,5.013607740E-1,1.079141521E1
1.241188785E1,-9.941922426E-1,-5.525368452E-1,1.027344513E1
1.251188785E1,-1.382576704E0,3.730615139E0,6.118681908E0
1.261188785E1,-3.108047962E0,1.365742445E0,1.175149059E1
1.271188785E1,-2.268206835E0,-2.564788461E-1,1.127272415E1
1.281188785E1,4.352209866E-1,2.208651066E0,3.758522511E0
1.291188785E1,-8.897452354E-1,-3.837456405E-1,1.355222893E1
1.301188785E1,-4.982184172E-1,-3.789123535E0,1.353644276E1
1.311188785E1,-2.246958256E0,1.503109813E0,4.522871494E0
1.321188785E1,-4.874744415E0,-4.198457241E0,1.593999672E1
1.331188785E1,-2.089240313E0,1.885882735E0,1.368503284E1
1.341188785E1,-3.142389655E-2,7.885153890E-1,7.770381451E0
1.351188785E1,8.303390741E-1,-1.073649824E-1,8.936283112E0
1.361188785E1,-1.282843232E0,1.230619669E0,8.314239502E0
1.371188785E1,-4.783689976E0,4.433088779E0,3.882946253E0
1.381188785E1,-3.455132246E-1,-4.870629311E0,8.135946274E0
1.391188785E1,1.830816120E-1,-8.528595567E-1,1.225202751E1
1.401188785E1,-9.651625529E-3,-3.709516227E-1,7.124096870E0
1.411188785E1,-2.934169054E0,2.918157816E0,6.862605095E0
1.421188785E1,-3.064652920E0,1.823334217E0,9.937358856E0
1.431188785E1,7.642740607E-1,-2.242543936E0,1.052767944E1
1.441188785E1,1.788767934E0,3.740940010E-4,1.079717636E1
