"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
8.829468844E0,4.929722250E-1,3.633216023E-1,-9.616131186E-1
8.929468844E0,1.192419603E-2,9.655933827E-2,-5.475471020E-1
9.029468844E0,6.287015676E-1,2.150352150E-1,-4.203778803E-1
9.129468844E0,3.933485746E-1,-7.682446390E-2,-2.467609048E-1
9.229468844E0,4.674584568E-1,-2.496087253E-1,-5.695635453E-3
9.329468844E0,5.266131163E-1,-2.706592679E-1,-1.265030652E-1
9.429468844E0,6.457052231E-1,-5.445826650E-1,3.663192987E-1
9.529468844E0,7.766215205E-1,-1.025347590E0,1.931386709E0
9.629468844E0,-5.201846957E-1,-4.278721213E-1,8.922495842E-1
9.729468844E0,-2.776372433E-1,-2.782034874E-1,-2.055424899E-1
9.829468844E0,4.361990690E-1,9.980685264E-2,-7.706927657E-1
9.929468844E0,3.315625787E-1,-1.456983566E0,-3.054492772E-1
1.002946884E1,1.875562817E-1,-2.743064761E-1,-5.070614219E-1
1.012946884E1,-2.072578520E-1,1.174766421E-1,-4.308365285E-2
1.022946884E1,-3.976619542E-1,-5.443661809E-1,1.009826183E0
1.032946884E1,6.564136744E-1,1.973987371E-1,1.043516994E0
1.042946884E1,4.381475747E-1,1.865903437E-1,-6.653401256E-1
1.052946884E1,-5.721781850E-1,3.315792605E-2,9.756357074E-1
1.062946884E1,-5.233989358E-1,-7.344372272E-1,3.072479010E0
1.072946884E1,1.267195642E-1,-1.410918832E0,4.033292770E0
1.082946884E1,4.863273203E-1,-4.410620034E-1,1.845902205E0
1.092946884E1,6.748995185E-1,8.965129852E-1,-1.433967829E0
1.102946884E1,4.504548311E-1,1.137295127E0,-2.339390755E0
1.112946884E1,3.680846095E-1,6.902543902E-1,-2.221547604E0
1.122946884E1,-4.056891054E-2,4.073545039E-1,-2.431619883E0
1.132946884E1,1.446558237E-1,2.031276822E-1,-1.099357605E0
1.142946884E1,1.513673365E-1,-5.404525399E-1,9.471908212E-1
1.152946884E1,3.135264218E-1,-1.085734725E0,1.917180896E0
1.162946884E1,-5.988577604E-1,-8.539955616E-1,1.968757987E0
1.172946884E1,-3.037672304E-2,-3.725978136E-1,1.951004982E0
1.182946884E1,2.653300166E-1,-2.683110535E-1,1.684808969E0
1.192946884E1,2.759552002E-1,-2.522733510E-1,1.459065199E0
1.202946884E1,-8.260336518E-2,2.959565520E-1,4.727044404E-1
1.212946884E1,-3.722314239E-1,6.243882179E-1,-5.848018527E-1
1.222946884E1,1.114479303E-1,4.714887142E-1,-8.816410899E-1
1.232946884E1,-9.709226340E-2,3.769278228E-1,-6.107153296E-1
1.242946884E1,7.044601440E-2,1.582120955E-1,-5.858677030E-1
1.252946884E1,-2.974387407E-1,1.324151903E-1,-5.882325768E-1
1.262946884E1,1.971655786E-1,1.049862131E-1,-2.752890587E-1
1.272946884E1,1.840256453E-1,6.475038081E-2,3.402892351E-1
1.282946884E1,-4.618460834E-1,-1.101489291E-1,4.143657982E-1
1.292946884E1,3.740133941E-1,-2.630817294E-1,6.644907873E-3
1.302946884E1,7.914268374E-1,1.092496142E-1,-7.639812231E-1
1.312946884E1,1.541984975E-1,-1.328815073E-1,-1.098608136E0
1.322946884E1,4.850782752E-1,7.607503980E-2,3.162576631E-2
1.332946884E1,1.888552867E-2,2.849316597E-1,-1.712854058E-1
1.342946884E1,1.167438701E-1,1.446558237E-1,-5.760252476E-1
1.352946884E1,-5.852182209E-2,2.843654156E-1,-1.019019127E0
1.362946884E1,-6.846753359E-1,-6.994640082E-2,-8.585087657E-1
1.372946884E1,-4.547681808E-1,-3.982115090E-1,-1.773974001E-1
