"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.701535867E1,5.233367537E1,4.867532557E0,3.261884680E0,3.904857874E0,8.336117554E1,4.181795597E0,3.000000000E0
4.801842125E1,5.233367484E1,4.867586846E0,2.092557906E0,4.101832867E0,8.967205811E1,4.648241043E0,3.000000000E0
4.902026484E1,5.233365696E1,4.867642447E0,2.217350651E0,4.154167175E0,8.952205658E1,6.784887791E0,3.000000000E0
5.001418004E1,5.233365398E1,4.867696794E0,3.953228145E0,3.764566898E0,9.284068298E1,9.475573540E0,3.000000000E0
5.102047752E1,5.233365403E1,4.867755564E0,5.050360379E0,3.002236843E0,9.360509491E1,7.274880886E0,3.000000000E0
5.201947516E1,5.233365074E1,4.867804447E0,5.356267893E0,2.930626154E0,8.579283905E1,7.047386169E0,3.000000000E0
5.302318093E1,5.233364783E1,4.867862616E0,6.837619474E0,3.642662525E0,8.796038818E1,8.006286621E0,3.000000000E0
5.401870645E1,5.233365039E1,4.867920711E0,6.674295932E0,3.624979973E0,8.958581543E1,8.723278999E0,3.000000000E0
5.501735753E1,5.233364831E1,4.867976575E0,7.214476667E0,3.524517059E0,1.025285797E2,8.723153114E0,3.000000000E0
5.601878339E1,5.233365009E1,4.868015872E0,6.899833937E0,3.442256927E0,8.835797882E1,8.825342178E0,3.000000000E0
5.702048953E1,5.233365987E1,4.868048435E0,6.772547156E0,4.101222515E0,8.531183624E1,6.485094547E0,3.000000000E0
5.802223754E1,5.233366150E1,4.868093291E0,6.594676505E0,3.738047838E0,9.427131653E1,7.976756573E0,3.000000000E0
5.901783088E1,5.233365310E1,4.868131693E0,6.087480001E0,3.518947124E0,8.967063904E1,5.404906273E0,3.000000000E0
6.001754593E1,5.233365166E1,4.868239123E0,6.068721663E0,2.159615040E0,9.601175690E1,1.012550449E1,3.000000000E0
6.102043179E1,5.233364316E1,4.868319708E0,4.170145350E0,2.986860991E0,8.860954285E1,1.012546158E1,3.000000000E0
6.202033548E1,5.233363537E1,4.868381138E0,2.750095984E0,3.811209202E0,8.275381470E1,7.391318798E0,3.000000000E0
6.301631766E1,5.233363635E1,4.868403108E0,3.085027529E0,2.607261181E0,7.650721741E1,7.392089367E0,3.000000000E0
