"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
9.267550424E0,1.510531545E0,1.344926119E0,-7.131395340E-1
9.367550424E0,-1.349940300E0,1.694566727E0,-1.256066322E0
9.467550424E0,-1.850433111E0,4.253210068E0,-4.102884769E0
9.567550424E0,-4.965977669E-1,2.161105156E0,-4.431524277E0
9.667550424E0,4.007349491E0,-3.534412384E0,8.806686401E-1
9.767550424E0,1.262700796E0,-1.010807395E0,3.288478851E-1
9.867550424E0,1.984186888E0,3.077184916E0,-2.212479591E0
9.967550424E0,6.927727222E0,1.033294052E-1,-1.055431366E1
1.006755042E1,3.696240664E0,5.969409943E-1,-3.005471230E0
1.016755042E1,-1.931501985E0,-2.117854595E0,2.533721924E-2
1.026755042E1,5.259128571E0,-6.794894338E-1,2.251787186E-1
1.036755042E1,1.237422466E0,4.372786522E0,-1.824443340E0
1.046755042E1,-6.738573313E-1,1.547319889E0,-1.800837517E0
1.056755042E1,-1.012642860E1,-8.278138041E-1,1.261816978E0
1.066755042E1,-2.077659607E0,-4.898249149E0,1.554608345E0
1.076755042E1,5.866082907E-1,-5.262017250E-3,6.860456467E-1
1.086755042E1,6.894078255E0,2.519625187E0,-1.821887016E0
1.096755042E1,9.820210338E-1,-1.345583439E0,4.165115356E-1
1.106755042E1,1.753933549E0,-3.497013748E-1,-1.692818642E0
1.116755042E1,-3.160171509E-1,6.076012850E-1,-1.209171295E0
1.126755042E1,2.604140759E0,-4.800346792E-1,-1.417198181E-1
1.136755042E1,-5.370817661E0,1.147778034E0,1.337796211E0
1.146755042E1,-3.185499668E0,1.212921619E0,-2.903171539E0
1.156755042E1,-1.476818919E-1,1.926225662E0,-3.148880005E-1
1.166755042E1,2.960755229E-1,-1.387207985E0,1.489615440E0
1.176755042E1,-2.296319962E0,-1.325129509E0,3.143393517E0
1.186755042E1,-1.433505654E0,-2.929500937E-1,-6.631832123E-1
1.196755042E1,-9.409595728E-1,2.798472643E0,-3.146921158E0
1.206755042E1,4.438496590E0,-4.734171033E-1,2.100448608E-1
1.216755042E1,3.404613972E0,-2.893700123E0,1.559583664E0
1.226755042E1,-6.427819133E-1,-3.058160782E0,3.286175728E0
1.236755042E1,1.903057098E-2,8.055546284E-1,2.106920242E0
1.246755042E1,2.181721210E0,6.296224594E-1,-5.335607529E-1
1.256755042E1,6.196313500E-1,-3.098509014E-1,1.172400475E0
1.266755042E1,8.721733093E-2,4.064760804E-1,-1.325073242E0
1.276755042E1,3.153653741E-1,2.454228401E0,-2.481649876E0
1.286755042E1,1.407267094E0,3.548901796E0,-3.946103573E0
1.296755042E1,9.321718216E-1,-2.954264641E0,2.307290077E0
1.306755042E1,2.111325979E0,2.253553391E0,-3.599456787E0
1.316755042E1,1.554216504E0,-2.944379568E0,1.320467949E0
1.326755042E1,-2.976159811E0,-6.029266715E-1,1.417927742E0
1.336755042E1,2.281262398E0,3.865371644E-1,1.274621010E0
1.346755042E1,1.329447508E0,1.107358098E0,1.640930176E-1
1.356755042E1,-7.440512180E-1,1.874919176E0,-2.042394638E0
1.366755042E1,1.897852421E-1,-4.000146985E-1,-2.133959770E0
1.376755042E1,7.833964825E-1,-4.763164520E0,5.489249229E0
1.386755042E1,-7.825344801E-1,-6.549896598E-1,1.256658554E0
1.396755042E1,-8.086276054E-1,1.631505132E0,1.122947693E0
1.406755042E1,-3.323173046E0,2.596233130E0,-7.859497070E-1
1.416755042E1,-3.023404837E0,-8.729686737E-1,4.165665627E0
1.426755042E1,-7.873418927E-1,-2.281438828E0,2.397296906E0
1.436755042E1,1.424115181E0,7.210075855E-3,1.327786446E0
1.446755042E1,2.408872992E-1,-2.396750927E0,1.707591057E0
1.456755042E1,4.192142785E-1,-1.307423115E0,2.472829819E0
1.466755042E1,3.371937275E0,-6.556976438E-1,-1.173454285E0
1.476755042E1,-1.233252168E0,-2.089866400E0,1.443870544E0
1.486755042E1,7.390713692E-1,-9.142073989E-1,6.377506256E-1
1.496755042E1,-1.626412868E-1,-8.849336207E-2,-3.270502090E-1
1.506755042E1,-6.906169653E-2,-1.825331807E0,1.401890755E0
1.516755042E1,-3.644314766E0,-3.751750946E0,1.934425354E0
1.526755042E1,-8.988052607E-1,5.363546312E-3,-5.500411987E-2
1.536755042E1,-1.987065792E0,4.119228721E-1,-1.605482101E0
1.546755042E1,-1.645790100E0,-2.946592569E0,2.940966606E0
1.556755042E1,-1.350903988E0,-1.604553342E0,2.882315636E0
1.566755042E1,-7.437537909E-1,-1.377971172E0,1.289520264E-1
1.576755042E1,-1.162573457E0,3.166705847E0,-2.773512363E0
1.586755042E1,4.417867661E-1,-4.811065495E-1,-1.283864975E-1
1.596755042E1,-6.350189447E-2,-5.266293049E0,3.701858521E0
1.606755042E1,-2.612450719E-1,8.606330156E-1,-4.387903214E-1
1.616755042E1,-1.461089134E0,-1.092948765E-1,8.432655334E-1
1.626755042E1,1.038972735E0,-7.407531142E-1,-3.542108536E-1
1.636755042E1,-1.871762156E0,-2.700461149E-1,1.604486465E0
1.646755042E1,-1.643645287E0,3.283623695E0,-2.076509953E0
1.656755042E1,2.209927559E0,2.913576841E0,-4.259630680E0
1.666755042E1,2.403669119E0,-4.731838107E-1,-2.713345528E0
1.676755042E1,1.293097377E0,-1.982305050E0,-2.083896160E0
1.686755042E1,6.447663307E-1,4.203687906E-1,-3.156396866E0
1.696755042E1,-2.768595695E0,-5.933657646E0,4.407065392E0
1.706755042E1,9.690635800E-1,8.666095138E-1,2.702638626E0
1.716755042E1,-3.331408501E-1,-2.126362562E0,3.474533081E0
1.726755042E1,3.035207272E0,2.665159702E0,-1.940660000E0
1.736755042E1,-7.580802441E-1,5.181234360E0,-5.023664951E0
1.746755042E1,1.335990191E0,4.779462218E-1,-4.082622528E0
1.756755042E1,-2.307207108E0,6.562358141E-2,-2.463189125E0
1.766755042E1,2.397527456E0,3.378850460E0,-5.325697899E0
1.776755042E1,1.635985136E0,8.357735872E-1,-1.030707359E0
1.786755042E1,3.178401947E0,3.997036934E0,-3.365342140E0
1.796755042E1,1.352886677E0,4.123178482E0,-5.302465916E0
1.806755042E1,-1.567581177E0,-3.833713293E0,2.877587318E0
1.816755042E1,1.486099839E0,-6.289131641E-1,8.442249298E-1
1.826755042E1,3.213840961E0,-1.232985592E1,8.604782104E0
1.836755042E1,-1.408339500E0,7.758539915E-1,7.580213547E-1
1.846755042E1,1.060080051E0,1.236100388E1,-1.106240463E1
1.856755042E1,-2.108227253E0,-2.457147360E0,-1.586723328E-2
1.866755042E1,-3.045685291E0,-1.033621216E1,8.105909348E0
1.876755042E1,-1.086567879E0,9.191183448E-1,-3.130135536E0
1.886755042E1,-8.292541504E-1,1.471206665E0,9.445943832E-1
1.896755042E1,6.338258386E-1,-2.486186504E0,5.413947105E0
1.906755042E1,2.417252779E0,-7.656715393E0,4.913501740E0
1.916755042E1,-4.045622349E-1,-4.346005917E0,4.456514359E0
1.926755042E1,-1.351736546E0,4.492530346E0,-2.340862751E0
1.936755042E1,1.762797832E-1,-3.131482840E0,1.041543961E0
