Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0.078468,0.007198,-0.056066,-0.018355
0.183252,-0.004729,0.059646,0.021334
0.288033,-0.095460,0.032991,0.050325
0.392816,-0.064383,0.070031,0.019581
0.497597,-0.089637,0.039989,0.051002
0.602380,-0.016320,0.024164,0.035502
0.707162,0.227700,0.170586,-0.161013
0.811945,-0.281274,-0.139312,0.222648
0.916726,0.379364,0.522890,-1.255222
1.021509,0.360533,0.386250,-0.871571
1.126291,-0.856618,0.478169,-1.165408
1.231074,0.446146,0.324497,-0.572636
1.335855,0.303724,0.261582,-0.645143
1.440639,-0.263627,0.317540,-0.275281
1.545420,-0.076541,-0.012863,-0.175217
1.650203,-1.314894,-0.199373,-0.268544
1.754985,-0.399574,0.064225,-0.270681
1.859768,-0.407351,0.350266,-1.456945
1.964549,0.318778,0.841081,-1.391007
2.069332,1.210854,0.450766,-0.697230
2.174114,-1.383849,0.168159,-0.627634
2.278897,0.679359,0.285861,-0.703359
2.383679,0.229955,0.469040,-1.198284
2.488462,0.769159,0.514242,-0.316134
2.593243,1.116806,0.920570,-1.308618
2.698027,2.310033,-0.093268,0.550856
2.802808,-2.152394,-0.606849,1.228457
2.907591,0.769565,0.565675,-1.905437
3.012373,1.017667,-0.886554,-0.597111
3.117156,-0.260233,0.535318,0.606896
3.221938,1.061854,0.523892,-0.436438
3.326721,-0.253466,-0.099393,0.015157
3.431503,-0.280698,0.593852,-1.034775
3.536286,0.051234,-0.281977,-0.318881
3.641068,-1.405956,0.167304,-1.532199
3.745851,1.173151,0.455165,-0.324377
3.850633,-0.392071,0.578434,0.452401
3.955416,0.880531,-0.525680,-0.419153
4.060198,0.858244,0.589471,-0.017523
4.164981,-0.335611,0.105338,-1.602918
4.269763,-0.686092,-0.369688,0.689965
4.374547,1.762953,0.748980,0.153850
4.479328,0.579556,0.287149,-0.199980
4.584112,-1.387785,-0.340293,1.009706
4.688893,-0.624232,-1.650408,-3.259681
4.793677,-0.647734,2.359684,0.458842
4.898459,-0.726704,-0.796048,0.824933
5.003242,0.498037,0.213236,-0.587986
5.108024,0.299129,0.152546,0.278372
5.212808,2.073814,0.766077,-1.359019
5.317589,-0.775777,0.160723,0.074018
5.422373,0.017512,-0.696853,0.766590
5.527155,0.633409,0.709886,-0.621122
5.631938,1.308051,-0.195979,0.320390
5.736720,-1.887908,-0.145509,-0.120193
5.841504,0.890852,0.240412,-0.967116
5.946286,-0.581248,0.130403,0.327781
6.051069,0.351425,-0.289937,-0.055984
6.155851,-2.011294,0.621024,-0.087330
6.260635,1.239286,-0.151024,-0.202885
6.365417,-0.860096,0.749548,0.980745
6.470200,0.172374,-0.507429,0.074474
6.574982,1.438560,-1.294375,-5.249434
6.679766,-0.524657,2.598894,2.154775
6.784548,-1.180666,-1.189203,1.072484
6.889332,0.840182,-0.468965,-0.621728
6.994114,0.397834,0.711565,-3.945166
7.098897,-2.647097,-0.928142,3.807427
7.203679,0.700567,1.065178,0.197368
7.308463,-0.806816,-1.662914,-1.775629
7.413245,-1.358333,0.982833,-1.070432
7.518029,0.137561,-0.068328,0.619219
7.622811,-1.352643,0.188564,1.271807
7.727595,1.125989,0.185713,-0.666643
7.832377,-1.229113,0.458695,0.009387
7.937161,1.204717,0.058761,-0.182967
8.041943,-0.471514,0.503708,0.370061
8.146726,-0.028493,-0.742389,0.780585
8.251509,0.139673,-0.245130,-0.393677
8.356292,0.134165,-0.177785,-0.874090
8.461075,-0.257834,-0.022583,0.481077
8.565858,-1.126379,0.427950,-0.086528
8.670641,2.012159,0.825464,-0.385510
8.775424,0.030361,-0.734768,-1.143339
8.880207,-1.167163,-0.313872,-0.856607
8.984991,-0.361640,0.693804,1.648705
9.089773,-1.554610,-0.555024,1.054633
9.194557,-2.214258,-0.434966,0.254001
9.299339,2.344337,1.211560,-1.983392
9.404123,0.014367,-0.376894,1.010952
9.508905,1.025572,-0.029109,-0.665002
9.613689,0.285039,0.485516,0.247766
9.718471,0.172033,-0.957587,0.199815
9.823255,-0.652755,0.466441,0.981916
9.928037,-0.568220,-0.024051,-0.986216
10.032821,-0.303940,-0.484418,0.016701
10.137604,-0.566104,0.838374,-0.881652
10.242388,0.589794,0.476028,1.586772
10.347170,0.099587,-0.942350,-1.518867
10.451954,-1.016333,-0.169213,0.386873
10.556736,-1.768349,0.542794,0.278918
10.661520,2.154925,-0.153709,-0.079894
10.766303,-1.805762,0.595234,0.633907
10.871087,0.400992,-0.856132,0.234929
10.975869,0.131653,-0.063836,-1.153831
11.080653,1.096357,2.333872,-0.848205
11.185436,-0.110075,-2.270733,1.284238
11.290220,-0.669765,-0.203934,0.583373
11.395002,-1.526440,0.258156,-0.912519
11.499786,-0.078319,-0.130649,0.979633
11.604568,0.804516,0.468862,-0.239507
11.709353,0.095509,0.234140,-0.916192
11.814135,0.127424,0.241966,0.790591
11.918919,-1.826828,-0.768150,-0.254274
12.023702,-1.087773,1.167262,0.626467
12.128486,0.863140,-0.856604,0.180866
12.233268,-0.849407,-0.756318,-0.217845
12.338052,-1.015210,0.960268,-0.333752
12.442835,0.091219,-0.614389,-0.895746
12.547619,0.246701,0.709466,0.699376
12.652401,0.139595,-0.323203,1.110349
12.757185,0.309108,-0.162442,0.101900
12.861968,1.416428,-0.155200,-0.007889
12.966752,-2.441072,0.067837,-1.971456
13.071535,-0.361502,0.857922,2.374974
