Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.096002,52.348045,4.919311,NaN,NaN,NaN,30.000000,0.000000
0.215062,52.348045,4.919311,NaN,NaN,NaN,30.000000,0.000000
0.215062,52.348045,4.919311,NaN,0.964961,0.110348,30.000000,0.000000
0.215062,52.348045,4.919311,NaN,0.390039,0.497458,30.000000,0.000000
0.215062,52.348045,4.919311,NaN,0.328754,0.210364,30.000000,0.000000
0.636664,52.348457,4.919262,10.750662,0.000000,0.547680,4.311483,4.166985
1.635967,52.348462,4.919261,10.748532,0.000000,0.636191,4.254055,4.077588
2.635321,52.348467,4.919260,10.758854,0.000000,0.059631,4.350512,4.161420
3.636696,52.348471,4.919255,10.563972,1.870000,328.899994,4.806626,4.427285
4.661690,52.348956,4.919176,10.501503,1.320000,322.299988,5.100750,4.648304
5.636611,52.348965,4.919157,10.961893,1.530000,322.299988,6.018632,5.006910
6.660535,52.348979,4.919127,11.777752,2.830000,313.000000,5.464922,5.032027
7.661519,52.348998,4.919093,12.145496,2.960000,322.000000,5.099511,4.827551
8.634920,52.349014,4.919060,12.335198,2.210000,316.000000,5.181817,4.949521
9.635815,52.349032,4.919028,13.197570,2.960000,318.500000,5.293243,5.130414
10.634653,52.349049,4.918994,13.651860,2.520000,315.000000,5.857042,5.247540
11.634834,52.349069,4.918957,14.044384,3.570000,320.200012,5.357808,5.170534
12.634582,52.349091,4.918919,15.088582,2.940000,318.500000,5.701596,5.393958
13.635381,52.349112,4.918882,15.085966,3.550000,319.100006,5.336798,5.194807
14.662801,52.349134,4.918845,15.803505,3.390000,320.799988,5.495918,5.368804
15.637476,52.349156,4.918808,16.055347,3.690000,321.000000,5.628738,5.502851
16.636772,52.349177,4.918775,16.510925,2.910000,324.700012,5.954979,5.551196
17.636104,52.349197,4.918744,17.099313,3.150000,321.700012,7.057572,5.873272
18.635438,52.349224,4.918710,16.431424,3.990000,328.500000,7.569642,6.248229
19.636608,52.349256,4.918674,15.932975,4.020000,328.299988,7.595629,6.652168
20.647202,52.349289,4.918641,15.827656,3.790000,334.200012,7.856166,6.911983
21.633516,52.349315,4.918607,15.428137,2.990000,325.500000,7.777620,7.019234
22.636117,52.349334,4.918571,17.110943,2.550000,321.299988,7.959313,7.182476
23.663499,52.349362,4.918545,15.646674,3.110000,324.399994,8.452992,7.237165
24.635673,52.349399,4.918536,14.096366,2.820000,347.000000,8.178434,6.853528
25.660885,52.349440,4.918549,12.172726,3.230000,11.100000,8.533546,6.782284
