Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
0.017047,-0.913161,9.020942,3.623033
0.037006,-0.490230,9.260822,3.393920
0.137006,-0.703191,9.164511,3.443571
0.237006,-0.555733,9.214162,3.515056
0.337006,-1.112064,9.187542,3.436991
0.437006,-1.220938,9.142676,3.274877
0.537006,-1.079462,8.688339,4.075874
0.637006,-0.763310,9.075378,3.664010
0.737006,-1.380060,9.445967,3.323332
0.837006,0.001496,10.744073,0.203689
0.937006,0.632603,9.680762,2.531905
1.037006,-1.472483,10.070194,1.811666
1.137006,-0.675673,9.687641,2.876472
1.237006,-0.305982,8.802596,4.224827
1.337006,-0.259322,8.714062,4.041777
1.437006,0.226720,9.585348,3.351447
1.537006,-1.831107,9.454940,2.623431
1.637006,0.023629,9.842875,2.266900
1.737006,-1.240978,10.277473,3.183950
1.837006,1.066900,9.189635,2.987738
1.937006,0.350549,11.210075,1.211067
2.037006,-1.463510,8.148159,4.408776
2.137006,2.023132,9.048160,3.771986
2.237006,0.181256,9.715159,1.754537
2.337006,0.174975,9.832108,2.232803
2.437006,1.336691,10.430015,2.387738
2.537006,-1.069293,9.973883,0.612862
2.637006,-0.876072,7.797013,6.392127
2.737006,-4.755436,5.999704,2.784946
2.837006,1.333400,10.823934,3.850052
2.937006,-3.349952,6.866803,-3.855136
3.037006,-0.172582,11.137991,2.806781
3.137006,-0.503689,11.370095,1.183550
3.237006,-0.687338,9.121440,2.077269
3.337006,-0.473181,6.097809,1.751845
3.437006,-1.832304,8.255239,2.743072
3.537006,-0.556331,10.690832,-0.584746
3.637006,0.335892,13.389338,2.114657
3.737006,1.016950,9.908978,4.650152
3.837006,-1.928316,6.259026,1.568196
3.937006,2.170290,10.884951,6.142974
4.037006,-3.677170,9.491430,1.234098
4.137006,-2.339582,10.061819,2.471786
4.237006,0.197109,11.263615,4.657031
4.337006,0.297308,7.868498,4.050450
4.437006,-1.693221,9.757631,1.688435
4.537006,-2.305485,8.270493,2.786442
4.637006,-0.158824,4.984549,-7.192825
4.737006,-2.087738,19.040886,-5.627919
4.837006,-7.517651,8.084749,2.364109
4.937006,1.778465,9.401101,2.674278
5.037006,-1.831706,8.812167,3.305385
5.137006,2.004886,9.342776,2.417349
5.237006,-2.991028,9.143872,5.835496
5.337006,-2.297409,6.823732,6.302097
5.437006,0.636491,9.362218,2.041975
5.537006,-2.246262,9.491430,2.490928
5.637006,-2.801397,11.539686,4.539484
5.737006,-0.579661,8.516654,5.220541
5.837006,-1.564308,8.727522,5.726025
5.937006,0.800100,9.023335,1.063011
6.037006,-3.967300,9.484850,3.230909
6.137006,4.131806,9.259925,1.457528
6.237006,-3.730411,9.317352,5.769095
6.337006,3.631407,7.585547,2.821736
6.437006,-2.831906,8.738588,-9.348459
6.537006,-0.910768,18.589241,21.045773
6.637006,3.958327,6.148059,-0.234497
6.737006,-4.724030,8.334201,1.228415
6.837006,2.968895,5.864509,4.363910
6.937006,-1.872982,14.947963,-18.075981
7.037006,-7.517950,7.703094,12.148062
7.137006,1.363311,9.624531,5.550750
7.237006,-4.249653,6.611967,1.269691
7.337006,0.859622,12.686746,-0.614656
7.437006,2.244169,4.689334,16.124035
7.537006,-0.167198,10.685449,2.152344
7.637006,-0.437288,10.885847,3.804887
7.737006,1.299303,9.211470,2.793920
7.837006,-0.057428,12.046067,0.774676
7.937006,-3.328416,12.343974,2.462813
8.037006,1.943271,7.768000,5.321638
8.137006,3.658028,7.450951,5.215456
8.237006,-0.523729,9.286545,5.701498
8.337006,-0.663410,10.993824,1.788336
8.437006,-2.427519,8.897711,3.073282
8.537006,3.495017,7.108179,2.516352
8.637006,0.892224,8.606983,1.717448
8.737006,-1.991127,19.590637,13.065410
8.837006,0.455534,8.378768,13.441382
8.937006,1.215255,12.159128,2.591128
9.037006,-2.963212,10.123136,1.961217
9.137006,0.903889,7.728817,3.702594
9.237006,2.191227,10.664512,1.255036
9.337006,-2.340779,3.807280,8.669795
9.437006,1.276272,14.388342,-2.944069
9.537006,0.361615,8.434401,3.559025
9.637006,-0.574876,9.323633,1.129113
9.737006,-2.083251,10.848759,5.736792
9.837006,3.529712,8.100004,6.373881
9.937006,-1.785046,10.537093,5.901000
10.037006,0.171386,6.884749,7.315756
10.137006,-1.773680,14.751452,1.943570
10.237006,0.636491,7.363912,2.531307
10.337006,-1.465903,5.500501,6.554539
10.437006,-0.987338,6.630811,0.622134
10.537006,3.330211,10.219148,2.702693
10.637006,-1.612164,10.864910,0.729213
10.737006,1.994418,5.411967,9.189336
10.837006,0.213559,12.194423,-7.176075
10.937006,5.799305,12.306287,9.106186
11.037006,-2.478665,4.206582,4.004389
11.137006,-2.817250,11.362917,1.759024
11.237006,-0.592822,5.701498,7.129415
11.337006,-1.818246,10.914561,1.147358
11.437006,-0.872483,8.462815,0.221037
11.537006,2.387140,8.699406,2.596811
11.637006,0.061615,9.815060,0.490828
11.737006,-1.895415,12.141182,0.986142
11.837006,-1.182054,9.110074,2.897708
11.937006,-0.145364,8.983554,9.122337
12.037006,-1.532304,8.356634,4.039384
12.137006,0.699901,10.227223,2.905186
12.237006,-1.834099,8.222337,4.385446
12.337006,0.446561,9.522238,-0.320937
12.437006,1.982454,7.987840,-1.347458
12.537006,3.434598,10.512268,3.063112
12.637006,-0.744467,8.338090,10.315458
12.737006,2.496312,5.507380,-4.183850
12.837006,-4.091128,13.796118,-4.017549
12.937006,-3.798307,7.585846,13.568501
13.037006,2.918047,3.152245,-2.259124
13.137006,-4.640281,17.350657,-7.184749
13.237006,-3.276971,4.324728,12.890434
13.337006,-1.563710,9.738489,4.857729
13.437006,-0.160618,12.758531,0.616451
13.537006,-3.856034,9.481560,4.135695
13.637006,2.702394,6.853642,7.899605
13.737006,-5.434998,13.235002,2.036890
13.837006,-0.098704,9.766904,2.125425
13.937006,-0.218943,6.425925,5.719743
14.037006,4.842176,8.055437,-3.148057
14.137006,-5.978168,10.771590,-4.472784
14.237006,0.406481,8.934201,0.204287
14.337006,0.340379,2.108077,-5.606383
14.437006,-0.244666,11.807682,-11.340185
14.537006,-1.575973,5.269893,5.117350
14.637006,-1.873879,7.758428,2.115853
14.737006,1.526023,14.292330,-1.348954
14.837006,-0.556929,6.671788,2.918346
14.937006,-4.107280,12.196217,8.806784
15.037006,0.489631,7.672586,10.410274
15.137006,-3.084348,10.408480,-11.607882
15.237006,1.227219,9.789935,5.176573
15.337006,1.375275,9.256036,9.042477
15.437006,-1.240978,2.607579,5.602794
15.537006,1.151546,15.105889,-2.101796
15.637006,3.433102,7.609774,8.442476
15.737006,-2.317449,12.761821,21.032013
15.837006,2.279762,6.134599,6.619744
15.937006,0.105583,11.743376,-0.933500
16.037006,-2.369792,15.454943,-0.389432
16.137006,2.082952,0.415155,15.018551
16.237006,-1.508376,13.846666,-0.838385
16.337006,-1.625325,9.464511,7.317551
16.437006,-2.791527,10.086645,18.962521
16.537006,3.308676,14.716757,9.326923
16.637006,3.559922,4.402794,7.963314
16.737006,-1.417747,22.375883,-10.905888
16.837006,1.585245,4.241278,9.057731
16.937006,-0.607777,16.765909,20.135304
17.037006,4.307380,6.564111,3.995116
17.137006,1.045364,10.377971,3.360420
17.237006,0.489930,12.756736,-10.256834
17.337006,-7.557730,10.761421,1.703092
17.437006,5.739185,7.647461,7.043572
17.537006,-4.306782,13.302897,1.375275
17.637006,5.442475,9.798908,1.481157
17.737006,-0.538983,6.413363,3.166303
17.837006,-3.026921,15.644275,8.076076
17.937006,-0.204287,6.751648,20.073389
18.037006,2.308476,1.240978,-7.694121
18.137006,1.350748,14.089837,-11.771192
18.237006,-1.085743,10.708778,2.721836
18.337006,2.471786,6.618248,8.260024
18.437006,-2.086840,8.108976,7.933702
18.537006,2.323730,9.329616,-2.276771
18.637006,-1.989931,11.018051,0.562912
18.737006,2.269592,10.061521,-2.531307
18.837006,-0.150150,13.632808,2.155036
18.937006,-4.472186,14.838491,18.117855
19.037006,1.852643,5.586643,16.031612
19.137006,-0.845564,2.423929,9.896116
19.237006,-1.154836,12.251850,-5.474479
19.337006,-0.267398,4.691727,-6.321538
19.437006,0.344267,6.428617,8.049456
19.537006,-0.432503,10.453345,-1.229313
19.637006,-1.992324,6.000900,-13.339089
19.737006,-1.783550,10.210473,-10.998610
19.837006,-2.835495,12.505190,-8.477173
19.937006,0.148654,7.870293,5.825327
20.037006,-1.366302,8.440681,2.490928
20.137006,1.790729,7.054938,5.184350
20.237006,-4.661219,9.949955,5.596513
20.337006,4.116552,3.711268,-6.308079
20.437006,-0.221037,10.504192,-1.288535
20.537006,-1.546063,8.832506,1.261018
20.637006,-1.394118,9.991231,1.398904
20.737006,-2.187339,8.488837,9.380463
20.837006,0.224925,9.984053,8.163414
20.937006,-5.920142,7.023832,-0.055334
21.037006,2.432304,9.384950,0.062213
21.137006,-1.698904,14.938990,1.223630
21.237006,0.715753,5.573482,8.546564
21.337006,-1.821835,7.894221,0.054138
21.437006,-1.236192,11.179866,4.976772
21.537006,-4.151248,8.685946,2.530410
21.637006,3.341577,9.055637,0.879362
21.737006,1.445863,9.766904,-1.585544
21.837006,0.416052,9.292826,-2.589034
