Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.013252,-0.038331,0.006261,-0.021532
0.033211,0.013744,-0.021074,0.011148
0.133211,0.001069,0.002749,-0.003818
0.233211,-0.004123,-0.021532,0.004276
0.333211,-0.003360,-0.023976,-0.004581
0.433211,0.010843,-0.122628,-0.054671
0.533211,0.078799,-0.223265,0.003512
0.633211,-0.049937,-0.100637,-0.058336
0.733211,-0.024739,0.149658,0.110411
0.833211,0.030084,0.120795,0.041079
0.933211,-0.049326,0.151643,0.090558
1.033211,0.052686,-0.000153,0.056809
1.133211,0.013286,-0.177146,-0.082006
1.233211,0.132248,-0.227846,-0.197304
1.333211,0.006414,0.039552,-0.043217
1.433211,-0.105829,-0.526398,-0.192570
1.533211,0.005650,0.124460,0.102011
1.633211,-0.050089,0.458594,0.434771
1.733211,-0.101095,0.942995,0.770126
1.833211,-0.200511,0.637114,0.443475
1.933211,0.084297,0.039858,0.043217
2.033211,-0.005039,0.510363,0.146909
2.133211,-0.036040,0.268620,0.217462
2.233211,0.006567,0.220669,0.070553
2.333211,-0.070400,0.343754,0.097888
2.433211,0.106746,-0.056045,-0.252738
2.533211,0.005345,-0.854728,-0.684760
2.633211,0.011606,-0.854423,-0.811511
2.733211,-0.654065,0.105524,0.099874
2.833211,-0.233802,-0.443933,-0.073302
2.933211,-0.087504,-0.327567,-0.384223
3.033211,0.231206,-0.759283,0.020922
3.133211,0.192875,-0.317946,-0.124002
3.233211,0.355971,-0.400716,-0.108425
3.333211,0.012981,-0.117130,0.162180
3.433211,-0.871679,0.232886,0.154239
3.533211,0.311685,0.611000,0.617719
3.633211,1.126250,0.027183,0.105982
3.733211,0.393386,-0.211048,-0.070247
3.833211,-0.124002,-0.064903,-0.235329
3.933211,-0.092543,-0.217614,0.094529
4.033211,-0.235329,-0.106287,-0.131790
4.133211,0.104455,0.289694,-0.011606
4.233211,0.136524,0.118352,-0.021991
4.333211,-0.067804,-0.335966,-0.468062
4.433211,-0.065361,-0.541211,-0.505782
4.533211,-0.134081,-0.018631,0.069942
4.633211,-0.245561,0.148283,0.250142
4.733211,0.572517,-0.218683,0.179436
4.833211,0.172259,1.066234,0.166761
4.933211,0.091780,0.423012,0.130416
5.033211,-0.212575,0.080632,-0.045966
5.133211,0.087351,-0.539684,-0.432327
5.233211,0.116366,-0.574655,-0.298552
5.333211,-0.176382,-0.096056,-0.076203
5.433211,0.025656,-0.392927,-0.129805
5.533211,-0.350168,-0.113465,-0.317641
5.633211,0.128736,-0.155766,0.182185
5.733211,0.174855,-0.073149,-0.074829
5.833211,-0.266940,-0.361469,0.168136
5.933211,-0.238689,-0.246782,0.059405
6.033211,-0.446224,0.243881,0.346350
6.133211,0.218225,0.190584,0.370021
6.233211,-0.248157,0.177757,0.055282
6.333211,0.118352,0.060321,0.224486
6.433211,0.613138,0.063223,-0.184323
6.533211,0.383154,0.082770,-0.552206
6.633211,-1.460841,-0.406366,-0.040163
6.733211,0.948340,-0.228151,0.015118
6.833211,-0.332606,-0.431869,-0.077425
6.933211,-0.149658,-0.258999,-0.055129
7.033211,-0.327414,0.649636,0.006414
7.133211,0.158515,-0.403159,0.124002
7.233211,-0.524107,0.332301,0.092849
7.333211,1.047145,0.352612,0.157446
7.433211,-0.764628,0.233344,0.115450
7.533211,-0.518609,0.782648,0.265719
7.633211,0.178673,0.587330,0.161264
7.733211,-0.051006,-0.030237,0.021532
7.833211,0.240063,0.138051,-0.139273
7.933211,0.209979,0.161875,-0.288778
8.033211,0.167372,0.025197,-0.238078
8.133211,-0.109342,0.053602,-0.070095
8.233211,-0.427898,0.082464,0.006719
8.333211,-0.217309,-0.020158,-0.156224
8.433211,0.014813,0.316113,0.058947
8.533211,-0.266788,0.015577,0.098041
8.633211,-0.089947,-0.348488,-0.325123
8.733211,0.470200,0.060627,-0.293970
8.833211,-1.065470,0.257014,-0.087809
8.933211,0.029321,0.219905,0.156835
9.033211,0.274118,0.350015,0.562438
9.133211,0.429578,0.461801,0.600921
9.233211,0.468214,0.108578,-0.251669
9.333211,-0.959794,-0.033444,-0.047341
9.433211,0.430953,0.038483,-0.355971
9.533211,0.055434,-0.399341,-0.370021
9.633211,-0.055587,-0.294123,-0.119268
9.733211,-0.142633,-0.098805,0.212728
9.833211,0.107662,-0.020158,0.282211
9.933211,0.008552,0.318710,0.021991
10.033211,-0.166761,0.214102,0.025197
10.133211,-0.303591,-0.438130,-0.073607
10.233211,0.771500,-0.294886,-0.236092
10.333211,-0.174702,0.209521,0.073607
10.433211,-0.378267,0.166609,0.454318
10.533211,-0.354291,0.026725,-0.037262
10.633211,0.151643,-0.148741,-0.164776
10.733211,-0.203412,0.061848,0.092849
