"event","experiment time","system time","system time text"
"START",0.000000000E0,1718280757.693,"2024-06-13 14:12:37.693 UTC+02:00"
"PAUSE",7.826348405E2,1718281540.327,"2024-06-13 14:25:40.327 UTC+02:00"
