,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelturnright,labelbrake,labelaccelerate,labelstop,labelturnleft,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
79.0,0.44992320816986064,1.3168050191777274,9.170696179404047,-0.17588214666985247,-0.07740565086111181,-0.10866425996222655,0.8433318047886625,-2.3416776773767514,1.540612154477174,52.34760269510306,4.921647518386968,0.03192742634634893,4.374113800187907,67.88439364514045,3.7900919914245605,2.5,1,0,0,0,0,0,-0.30806597206546066,0.02245575394752391,-0.20575726617747886,-0.153336670266772,-0.07759916890928611,-0.017901220330767284,-0.12136865851576686
79.5,0.5058414053690025,0.8720823959172089,9.521771605961076,-0.11318391538188449,-0.05336791348497272,-0.018587645454573948,1.0446477204903941,-1.746641632662745,0.8976529526742396,52.34761032311679,4.921677733586568,-0.006460981888618281,4.349740126830798,68.59279312424843,3.7900919914245605,2.5,1,0,0,0,0,0,-0.3028882516955124,0.01568352341464071,-0.14024435979940134,-0.09323764326756463,-0.050297469390076496,-0.03272958235713166,-0.1275286916334646
80.0,0.16376640578880075,0.27987420001623586,9.177218574476091,0.13245897431729317,0.07398838887889259,-0.03202676750568563,0.6684581068660527,-1.2794556747971404,0.8732053368302025,52.34762046200138,4.921707832498423,-0.02854200510947163,4.32134638024076,69.49891241020354,3.7900919914245605,2.5,1,0,0,0,0,0,-0.30200834157393347,0.004947855644810616,-0.06836293168032305,0.007277967176816608,-0.05589707771964281,-0.018162641389733468,-0.05067308812463001
80.5,-0.633025704148139,0.6980608229302285,8.088894215962622,0.004308628080902183,0.07304258551268131,0.05280352674508042,-0.33052983121681967,-0.5161541192558005,0.14347271050985688,52.34762894971287,4.921738210477904,-0.16970928316505204,4.359681061356409,70.19542869727849,3.7900919914245605,2.5,1,0,0,0,0,0,-0.2932517757490788,-0.0006346056530835073,-0.02960907427714111,-0.08771875981069276,0.045090437351641484,-0.11095203627020767,-0.07284629966880879
81.0,-0.5713976011801702,0.4556894503164889,7.999262873199336,-0.10585618415523743,0.05756493416464731,-0.014071342492066985,0.0568784802166617,0.2676892515839505,-0.5173150075140415,52.347634362713876,4.921768681508737,-0.34265473199218544,4.417067741095705,70.85387798956174,3.7900919914245605,2.5,1,0,0,0,0,0,-0.29089991732840786,-0.005557463325899008,-0.008219490433295656,-0.035743856098367235,0.02181576167133879,-0.15287683349386472,-0.16269474460037947
81.5,-1.3519267830178059,0.41269193165620477,8.410305803435492,-0.06913100299660148,0.0614120710351315,0.1088188508273408,-0.7173286600210114,-0.054981366729527414,0.38466549929324123,52.3476412340388,4.921799501408507,-0.33808520248068374,4.440597194232677,70.89162481168044,3.7900919914245605,2.5,1,0,0,0,0,0,-0.29018659986886297,-0.011978806186069078,0.003313379356415273,-0.09837349052827125,0.12885800027278085,-0.123037611974667,-0.05611802205376785
82.0,-0.9593965090875751,0.1640085486496901,9.356213401081176,-0.039854255498882094,-0.05095189423923851,0.05669983098622313,-0.1687521203890905,-0.29988384397712375,-0.22401806972400784,52.34764860415196,4.921830437633937,-0.28614578331678403,4.454460225982052,70.81664291414727,3.7900919914245605,2.5,0,0,0,1,0,0,-0.29213633237701375,-0.006699764442847117,0.004343431195156104,-0.0423095876005918,0.13808237515557262,-0.122106708039917,-0.11382557278794328
82.5,-0.37017678817592503,0.3561367200884539,9.717581624383476,-0.009289979792202176,0.16950039243779932,-0.05700651324906735,-0.5656262831408294,0.010107333873932922,-0.42694863026997854,52.3476561448649,4.921862366173238,-0.2645671433008689,4.612032618301389,70.18923615340529,3.7900919914245605,2.5,0,0,0,1,0,0,-0.30338287965660415,-0.0021562956274561937,-0.02203830452883478,0.04144073528397716,-0.01831450275086046,-0.10241319681998876,-0.05580533900652485
83.0,-0.3233249012493919,0.460306780828624,8.8873608050089,-0.17420290493576937,-0.01805546076554343,0.07699545689213338,-0.3990649062214534,-0.19235498636001563,-0.5849134692885707,52.34766625389013,4.921894625586267,-0.2510902802249104,4.8106359160388354,69.46150089305723,3.7900919914245605,2.5,0,0,0,1,0,0,-0.30505465861139885,0.0017287474167617597,-0.06213761791991251,-0.06167475170084752,0.11217853675337534,-0.1478752353424359,-0.12460979084497101
83.5,-0.47798139029772535,-0.03184578023473317,9.520499065737164,0.2143606964938857,0.10937527250570384,-0.05294111732192422,-0.5881270855563595,-0.16804053330019267,-0.5553325686281108,52.34767724135121,4.921929855904624,-0.3230212544201157,5.006664835947434,68.01991203462504,3.7900919914245605,2.5,0,0,0,1,0,0,-0.32286076064939945,-0.004008925561626547,-0.03451265331749141,0.11811505713461735,0.07202063146022476,-0.10121299109501702,-0.040134028853934724
84.0,0.22545124175525322,-0.34313140312517215,9.094474564594696,0.0031842941618802356,-0.03744229741850866,0.015288735730165204,0.7952992259445176,0.2443905315210763,-0.7790010272161004,52.34769103922464,4.921966076831447,-0.41774329664926035,5.201958731151596,66.44868308215966,3.7900919914245605,2.5,0,0,0,1,0,0,-0.327811446229945,-0.0032775666209219137,-0.068907175880679,0.12183418058620268,0.08923005615890342,-0.12998424490927404,-0.1859382889531095
84.5,-1.2108427948113045,0.8608710592594009,8.937534319771029,-0.22135201655502101,-0.18030001303776563,0.05831958020914381,-0.19716082852974515,-1.2852005219951488,-0.24356917217870744,52.34770077841436,4.922002945905569,-0.4630198429700849,5.339883717117028,67.2272218273457,3.7900919914245605,2.5,0,0,0,1,0,0,-0.3299428172194614,0.008750062287334125,-0.1855529060597679,-0.12448963017783692,0.2410912073225703,-0.15737998297931174,-0.16312024730912503
85.0,-1.1669591230788676,-0.13439270796716452,9.340843309327772,0.12866959094730662,0.018287903071739192,-0.05073901636305718,-0.370385896196442,-0.2805046194764138,-0.7100298280485975,52.34770912941883,4.922040348937913,-0.4951018756319483,5.4614293324971985,68.43251927303687,3.7900919914245605,2.5,0,0,0,1,0,0,-0.33477105124188145,-0.003904914732137152,-0.09151486889558902,0.11455077868221894,0.17116316138150958,-0.1359487591072604,-0.091378385425024
