timestamp,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelturnright,labelbrake,labelaccelerate,labelstop,labelturnleft,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,Acceleration x (m/s^2)_temp_mean_ws_3,Acceleration y (m/s^2)_temp_mean_ws_3,Acceleration z (m/s^2)_temp_mean_ws_3,Gyroscope x (rad/s)_temp_mean_ws_3,Gyroscope y (rad/s)_temp_mean_ws_3,Gyroscope z (rad/s)_temp_mean_ws_3,Linear Acceleration x (m/s^2)_temp_mean_ws_3,Linear Acceleration y (m/s^2)_temp_mean_ws_3,Linear Acceleration z (m/s^2)_temp_mean_ws_3,Acceleration x (m/s^2)_temp_std_ws_3,Acceleration y (m/s^2)_temp_std_ws_3,Acceleration z (m/s^2)_temp_std_ws_3,Gyroscope x (rad/s)_temp_std_ws_3,Gyroscope y (rad/s)_temp_std_ws_3,Gyroscope z (rad/s)_temp_std_ws_3,Linear Acceleration x (m/s^2)_temp_std_ws_3,Linear Acceleration y (m/s^2)_temp_std_ws_3,Linear Acceleration z (m/s^2)_temp_std_ws_3,total_acceleration,total_linear_acceleration,total_gyroscope
1741.0,1.056890774187836,-0.6488059038252827,11.070833660815827,0.01772620110943638,0.01746921606477572,0.09283352627807212,-0.9290798443719486,-1.4419572200137656,1.149840522237639,52.351979984134594,4.922188749140842,5.095254515655792,3.2478722875089296,319.7026562434905,3.790091991424674,2.5033175019529152,1,0,0,0,0,0,-0.2438842555775355,-0.1727985599696118,-0.1007078788272783,-0.18876397683090906,-0.1450628839537917,0.13205332143115608,-0.11817563229386348,1.223779807019083,-0.17612629509381802,10.509165595267033,0.018464739300866253,0.0150660627138937,0.04596546464818143,-0.9376996095225554,-1.5029450138609997,1.3993352435390796,0.20821169229157002,0.4750846011071588,0.5352829687431401,0.022464544219124416,0.02800416474328634,0.07418628538146237,0.11325446837960243,0.11253421512241996,0.25478001278452655,11.140077430379678,2.0650818889689964,0.09611168147999237
1742.0,0.2721234744019876,-0.5399040695782289,11.419676863759324,0.02966441511201476,-0.056762680852052286,0.10688251269180764,-0.6808506153164101,-0.5921832057962872,0.22371442387178292,52.35199143217132,4.922172227783252,5.177687919592258,3.341074295032373,319.35590055439764,3.7900919914245983,2.501100157526372,1,0,0,0,0,0,-0.2259108405379934,-0.1542979739420943,-0.06006351855492464,-0.13876898531274667,-0.19954826247304155,0.03557971081588002,-0.02136928902769044,0.9287052259464318,-0.29579421842159626,10.831801321412826,0.014589729078966955,0.0008325815718057237,0.05338320608899122,-0.8883160448100546,-1.2223163103872514,1.0108818289683363,0.6027991700824493,0.5199812491270238,0.7370585992541823,0.016863123877371388,0.05134004802737724,0.08080265060861905,0.19038516908053424,0.5539917421811514,0.7277075567046943,11.43567082694967,0.929670185093717,0.12460277276515276
1743.0,1.0144231358965112,0.8769566571544285,9.455782589501672,-0.016907251824029884,0.13333625272137184,0.0068174092922060605,1.1768926021416342,0.6734329521498721,-1.4335337654595819,52.352002877611255,4.922154640952179,5.1621918183548425,3.308573876451311,317.4993693349051,3.790091991424573,2.500364836735596,1,0,0,0,0,0,-0.229395213936476,-0.06827321336781181,0.008316754456744397,0.34309798159621924,0.1480001853835114,-0.17263123722035129,0.016778780500727196,0.7811457948287798,-0.10391777208302272,10.648764371358924,0.010161121465807589,0.0313475959780311,0.06884448275402873,-0.14434595251557444,-0.4535691578867207,-0.019992939783383196,0.44133736199761625,0.851205549103458,1.0477724199188005,0.024189933088192134,0.09580635786940637,0.054174365584587506,1.1509378463991435,1.0644854559034944,1.3088165023824292,9.550389084068382,1.9732225405994446,0.13457670126539792
1744.0,0.2872301358212084,0.7173444108791796,9.316152724739425,0.0120155955469059,0.1076224759573976,-0.21952426250376705,1.785511130096637,1.0801910137809818,-1.9887021718575808,52.352014322163754,4.922137016697639,5.120073765587862,3.239040608307993,315.4331710777372,3.7900919914245645,2.5001209879862194,1,0,0,0,0,0,-0.21874235278807214,-0.0635184119833486,0.09644121816115628,0.3766526311779745,0.30295491371864985,-0.29356013998500924,0.061652440954434486,0.5245922487065707,0.35146566615179803,10.063870726000124,0.00825758627829743,0.061398682608905054,-0.035274780173251,0.7605177056406207,0.3871469200448618,-1.066173837815123,0.42427323311608023,0.7760631556914737,1.1762363015876067,0.023512167393662093,0.10313525313917316,0.16722487863320748,1.2848194836771478,0.8721689353047067,1.151048124794905,9.348143438427401,2.8826721891854463,0.2447812772565955
1745.0,0.3845336066608708,-0.2310523989026489,10.532588976826542,-0.04516644826368581,-0.1261328534401246,-0.06460908395136616,1.5756176900328318,0.9557834277956442,-1.8456743618604712,52.352025766413,4.922119062121922,5.292975477206981,3.197393839980853,315.5768401291706,3.790091991424562,2.5000401223105606,1,0,0,0,0,0,-0.2053897693655085,-0.1091326105699977,0.05425999180467347,0.13427215567188433,-0.004125258485960754,-0.2525454132541283,0.0891062839085286,0.5620622927928651,0.454416223043658,9.768174763689197,-0.016686034846936093,0.03827529174621429,-0.0924386457209756,1.5126738074237014,0.9031357979088389,-1.7559700997258745,0.39476542482776045,0.5989736563864663,0.6656732995382556,0.028591663755406928,0.1429609325360472,0.11570869232285774,0.30915300000320034,0.20842710926137917,0.2882501185592945,10.542138391259066,2.608180767512529,0.148740843397968
1746.0,0.3034457990367498,0.8387523649443045,8.254984049112913,0.04514341366906874,0.03700532681745258,-0.0788383319590691,1.2258449932318016,0.21886569395628264,-0.8370311172530167,52.352037210558606,4.922100997405504,5.524330321923396,3.163962637450761,316.0273615884726,3.790091991424561,2.5000133054516818,1,0,0,0,0,0,-0.22968946463847306,-0.05702787610938121,0.07522048916737982,0.3076874270039825,0.2017630230519704,-0.015542492517360819,0.039743281772977083,0.3250698471729447,0.4416814589736167,9.36790858355961,0.003997520317430114,0.00616498311157454,-0.12099055947140064,1.5289912711204237,0.7516133785109759,-1.5571358836570195,0.05213147756113641,0.5857585726879042,1.1396841901939314,0.04568571919503251,0.11989050673576493,0.08562876765240433,0.2827314333316421,0.4655474018953542,0.6277160142584045,8.303032369788843,1.50040635518258,0.09809589490213906
1747.0,-0.6956823372773497,1.4114033832032795,7.594263644610478,0.00660723378315195,0.02685325454645548,-0.0954856475905998,0.4157026980426309,-0.9784091962068328,0.496372086307775,52.35204614360524,4.922083213807176,5.761176515693243,3.1999639610110657,316.21908541413535,3.790091991424561,2.500004412384082,1,0,0,0,0,0,-0.2483428937583035,-0.028577919479907725,0.08600776747587291,0.2508176213519021,0.2091534821843444,0.2828158113426273,0.02134627871839927,-0.002567643859908042,0.6730344497483168,8.79394555684996,0.0021947330628454644,-0.020758090692072833,-0.07964435450034489,1.0723884604357552,0.06541330851503775,-0.728777797601901,0.6016226323948296,0.8336738388638392,1.54152475478089,0.045316337148243124,0.09139828560211138,0.015454054477549743,0.594989392976263,0.9761844101575532,1.17476996780475,7.755570496641092,1.1732342206258546,0.09940956550452362
1748.0,0.04508938687001785,0.9085769926823272,8.07324756174456,0.019742967096759413,-0.0033700204552826914,-0.09221186375903566,0.5653408818917448,-2.010888479560004,1.6944274055291704,52.35205672957307,4.922065841786383,5.999515194621552,3.2564207802494707,316.37487374415815,3.790091991424561,2.5000014632448218,1,0,0,0,0,0,-0.2576944497552047,-0.09322316478349407,0.02364289360190401,0.06221012251084099,0.24518024335110936,0.3823560506082673,-0.07888208559203483,-0.11571571712352569,1.0529109136099755,7.974165085155966,0.02383120484966054,0.020162853636207803,-0.0888452811029014,0.7356295243887262,-0.9234773272701783,0.4512561248613129,0.5186115784442161,0.3124204022243258,0.3413222320719828,0.01959067523065519,0.021002696615038566,0.00881950613808757,0.4310815478957667,1.1158915947559658,1.266332164412067,8.124338212904142,2.689677865948559,0.09436190759818129
1749.0,-0.2285595884975224,1.0492363050192277,8.006088663880304,-0.01020082843755507,-0.09683158294309,0.10489204465629323,0.6143641108957634,-2.3427183707432344,2.0957688983909843,52.352067880409784,4.922048289157145,6.088645171067916,3.294215131561991,318.8077259658979,3.790091991424561,2.500000485244569,1,0,0,0,0,0,-0.26478779175399136,-0.08305339613619721,0.01574779313394078,0.004452989373473378,0.12296098190820565,0.5292014936084957,-0.07076129254192334,-0.29305084630161643,1.1230722269682831,7.891199956745095,0.005383124147452604,-0.024449449617306388,-0.027601822231113946,0.5318025636100469,-1.7773386821700174,1.42885613007598,0.37457312847283947,0.259417428633121,0.2593375396825767,0.015009382267444435,0.0644805513821909,0.11475472969436978,0.10349011225277382,0.7115082654662188,0.8321139449527525,8.077783854695374,3.2028143718981807,0.14311797017934108
1750.0,0.791433174668982,0.2686660103569145,9.48176907766967,0.00920831887161248,0.050938868401906326,-0.03239571994364161,0.3699730939386692,-1.051727701020263,1.1043138520834237,52.35207922428466,4.922030676306698,6.137212513763673,3.3265113840026164,321.55673493601716,3.790091991424561,2.500000160917905,1,0,0,0,0,0,-0.2563672754547736,-0.14498865343139905,-0.035746862060536164,0.033963894140726016,0.13840982509158142,0.1464591640204284,-0.05748347009619886,0.2026543243471608,0.7421597693528282,8.520368434431491,0.006250152510272781,-0.01642091166548944,-0.006571846348794551,0.5165593622420596,-1.801778183774494,1.6315033853345293,0.5279359254394803,0.41604508817292907,0.8332742507749784,0.015189495841407585,0.07474470478710475,0.10105761729692618,0.12929218764816325,0.6704174551580449,0.49871369687451395,9.518534169573615,1.5692419607043553,0.06106589982285436
