,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate
8.5,-0.7010371999999998,3.7828732000000005,2.6532216,0.0232734,0.1097694,-0.03790299999999999,0.9648538,-3.8343703999999996,,,,,,,,,1,0,0,0,0,0
9.0,1.9607388000000003,-3.1615764000000004,15.579847400000002,-0.05665625000000001,-0.104875,-0.14545799999999995,-2.2143812,1.1896233999999994,-2.6651608000000007,52.350564,4.9255900000000015,3.424465,3.11,223.600006,3.790092,2.5,1,0,0,0,0,0
9.5,-0.1880159999999999,-0.4153942000000001,12.0233952,0.055129,-0.026113799999999996,-0.0615122,0.055924599999999984,-3.1951464,,,,,,,,,1,0,0,0,0,0
10.0,0.021176599999999855,-0.13232319999999986,8.752406599999999,0.0225708,-0.08072340000000001,0.2454996,-0.33172480000000004,-0.3004294,0.09026020000000004,52.350542,4.92556,3.360452,2.73,226.0,3.790092,2.532803,1,0,0,0,0,0
10.5,3.1519456000000003,0.4473384000000002,5.9761942,-0.055800999999999996,0.06325339999999999,-0.0297176,0.5786952,-0.29915359999999996,-0.49677520000000003,,,,,,,,1,0,0,0,0,0
11.0,0.7330412,-1.351227,10.9445314,0.07368349999999999,0.025731999999999998,-0.03844499999999999,0.574483,-0.364265,-0.76632,52.350524,4.925535,3.403747,2.22,226.100006,3.790092,2.553666,1,0,0,0,0,0
11.5,-0.2485546,-1.442872,11.031032000000002,-0.035245800000000015,-0.027793400000000003,0.0532962,0.574483,-0.364265,-0.76632,,,,,,,,1,0,0,0,0,0
12.0,-0.6199806000000001,-3.069094,12.802976999999998,0.0010384000000000003,0.0171648,-0.0448668,0.267898,-0.279725,-0.2728285999999999,52.350504,4.925505,2.618057,3.21,225.600006,3.790092,2.5,0,1,0,0,0,0
12.5,0.34576299999999993,-2.1801606,9.6262656,-0.034574000000000014,-0.0006412000000000007,-0.03958300000000002,0.4705474000000001,-0.5439321999999999,-0.0919996,,,,,,,,0,1,0,0,0,0
13.0,-0.33667,-1.7349758000000002,11.1746014,0.017218500000000005,-0.03955249999999999,0.0786085,-0.91689,-1.193156,-0.329382,52.350484,4.925475,2.566986,2.34,224.699997,3.790092,2.5,0,1,0,0,0,0
13.5,-1.8436698,-2.8659432,7.7800834000000005,-0.0198832,0.052136,0.028649000000000008,-0.91689,-1.193156,-0.329382,,,,,,,,0,1,0,0,0,0
14.0,-0.4043271999999999,-0.0034097999999999967,9.444709799999998,0.04590519999999999,0.0791048,-0.004520200000000002,-0.3177182,-0.5097065999999998,-0.2314226,52.350474,4.925458,2.673407,0.9,226.5,3.790092,2.5,0,0,1,0,0,0
14.5,-0.7082755999999999,0.31052859999999993,9.537791,-0.0037871999999999992,-0.030939599999999994,0.0746454,-0.11527920000000005,0.48851400000000006,0.028919,,,,,,,,0,0,1,0,0,0
15.0,-0.3710072,0.08285139999999999,9.9787288,-0.0036956,0.004825600000000001,-0.023151200000000004,0.125724,0.24988,0.328702,52.350472,4.925455,3.525515,0.0,,3.790092,2.5,0,0,1,0,0,0
15.5,-1.2628122,0.4125228,9.3643712,0.002939749999999999,-0.006185,0.0038177500000000017,0.125724,0.24988,0.328702,,,,,,,,0,0,1,0,0,0
16.0,-0.1355534,0.1658822,9.9727464,0.0027184,-0.0398274,0.00788,0.15310620000000003,0.2285562,0.2788306,52.350472,4.925455,3.968997,0.0,,3.790092,2.5,0,0,1,0,0,0
16.5,-0.055633,0.205304,9.8537632,0.0014661999999999998,-0.0081548,0.0010994000000000004,0.0367934,0.07700839999999999,0.0588038,,,,,,,,0,0,1,0,0,0
17.0,0.062392799999999984,0.1975872,9.7652884,0.0102012,0.0165232,0.014629800000000004,0.0175118,-0.1643238,0.0935176,52.350474,4.925453,4.21442,0.0,,3.790092,2.5,0,0,1,0,0,0
17.5,0.4117448,1.1383851999999999,10.148798199999998,0.0012217500000000006,-0.0436755,0.16519599999999998,0.07947,-0.388675,0.178053,,,,,,,,0,0,1,0,0,0
18.0,-0.26165520000000003,1.4018950000000001,9.5309716,0.024067599999999998,-0.0010386000000000006,-0.12482659999999995,0.07947,-0.388675,0.178053,52.350473,4.92545,4.925477,0.0,,3.790092,2.5,0,0,1,0,0,0
18.5,1.3625329999999998,1.3161124,11.060404,-0.006780400000000002,-0.0687508,0.3522758,-0.9729488000000002,0.4556314,-0.24388220000000002,,,,,,,,0,0,1,0,0,0
19.0,0.5441876,0.3444470000000001,11.252068800000002,-0.01762300000000001,0.07241600000000001,-0.172595,-0.1382343999999999,0.3901644,0.31304760000000004,52.35047,4.925446,4.8211010000000005,0.41,226.800003,3.790092,2.5,1,0,0,0,0,0
19.5,0.1044465999999999,0.032602200000000095,9.332247599999999,0.0404305,0.016034750000000004,-0.25075275,-1.384447,0.426731,0.13053,,,,,,,,1,0,0,0,0,0
20.0,-0.6006583999999998,0.9249458,8.888558200000002,0.0193028,-0.0229678,-0.15200940000000002,-1.384447,0.426731,0.13053,52.350461,4.925432,4.767795,1.89,224.800003,3.790092,2.5,1,0,0,0,0,0
20.5,0.5027919999999999,-0.9473185999999996,11.7626974,0.006505600000000006,-0.11648859999999997,0.3793362,-0.9388360000000002,-0.13428899999999994,0.20201679999999994,,,,,,,,1,0,0,0,0,0
21.0,-0.3759724000000001,1.6934004000000002,6.861777600000001,0.08802299999999999,0.1317902,-0.1834986,0.11247120000000002,-0.6836377999999999,-0.05030160000000008,52.350448,4.9254120000000015,4.16486,1.61,224.699997,3.790092,2.5,1,0,0,0,0,0
21.5,-0.06329019999999999,-0.6504886,10.343394800000002,-0.13973125,-0.20684825,0.5084157499999999,-1.8710556,-1.2641028,0.34493939999999995,,,,,,,,1,0,0,0,0,0
