timestamp,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelbrake,labelstop,labelturnright,labelturnleft,labelaccelerate,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,Acceleration x (m/s^2)_temp_mean_ws_3,Acceleration y (m/s^2)_temp_mean_ws_3,Acceleration z (m/s^2)_temp_mean_ws_3,Gyroscope x (rad/s)_temp_mean_ws_3,Gyroscope y (rad/s)_temp_mean_ws_3,Gyroscope z (rad/s)_temp_mean_ws_3,Linear Acceleration x (m/s^2)_temp_mean_ws_3,Linear Acceleration y (m/s^2)_temp_mean_ws_3,Linear Acceleration z (m/s^2)_temp_mean_ws_3,Acceleration x (m/s^2)_temp_std_ws_3,Acceleration y (m/s^2)_temp_std_ws_3,Acceleration z (m/s^2)_temp_std_ws_3,Gyroscope x (rad/s)_temp_std_ws_3,Gyroscope y (rad/s)_temp_std_ws_3,Gyroscope z (rad/s)_temp_std_ws_3,Linear Acceleration x (m/s^2)_temp_std_ws_3,Linear Acceleration y (m/s^2)_temp_std_ws_3,Linear Acceleration z (m/s^2)_temp_std_ws_3,total_acceleration,total_linear_acceleration,total_gyroscope
371.0,0.10879363753039108,0.15172186071613414,8.946810893385537,0.1040261285680581,-0.027217039212254917,0.4510654869988152,-1.7560793520932587,-1.1302315725679188,-0.2309238971458141,52.35687872042564,4.922452833894077,3.1243136453755995,2.818800261500233,48.912057196899795,3.790091991424561,2.5,0,0,0,0,1,0,0.5086480464898597,0.1515875019506046,0.04619278617288841,-0.04285272655066545,-0.3913897538106388,0.3375431417149221,-0.040922037128846865,0.12377359785103303,0.1140680493864558,9.213222416172778,0.055478117917874235,-0.04364272814030024,0.35386180094109676,-1.1147055357869482,-1.770148212791085,-1.1341097122014268,0.22507305394122218,0.2609944045963302,0.69082832079883,0.04623900076846395,0.03409947905329409,0.08486415619891043,0.556495610082959,0.5806476200362062,0.8336758084047784,8.948758614500024,2.1010863725108115,0.4637049452074216
371.5,0.3510384159865436,1.0549311636852194,9.477261292321753,0.10812386991378857,0.03579379274672883,0.3061302567221168,-1.8167756022617896,-1.0765012287080515,-0.01137134567496892,52.35688721965445,4.92246465589874,2.6475023295652527,2.498692866413707,43.39034992399845,3.790091991424561,2.5,0,0,0,0,1,0,0.5066664076827937,0.1868363944552004,0.0901469393373098,0.028454485541017094,-0.2892156073680932,0.3276358798510833,-0.07839564367848417,0.12213225530935908,0.5202811445389691,9.039779327992056,0.07470309623101905,-0.024756498519022133,0.35056941894100335,-1.4670120685680885,-1.3745142762172513,-0.5131806051369837,0.2225368673629132,0.4739581843503596,0.39920118431012547,0.054376343812568305,0.05935828145443435,0.08722578611291235,0.5540754627914156,0.4704096605686121,0.687837489312028,9.542252843671287,2.111790186520927,0.32663083278386135
372.0,0.1004769991672118,-0.5417592623372085,9.551121915180511,0.004939209692417679,0.01550007662112721,0.3482693589542791,-2.1066590637008136,-1.2254109117448226,-0.2119548408608846,52.356895146305924,4.922474954628486,2.0458236853794807,2.132810706821056,37.715106207109926,3.790091991424561,2.5,0,0,0,0,1,0,0.5250533672841795,0.16504490109664138,0.14537257557305971,-0.13153649864735653,-0.433553837449436,0.2447162448244543,-0.08333022652501443,0.18676968422805082,0.2216312540213831,9.325064700295927,0.0723630693914214,0.008025610051867096,0.3684883675584035,-1.893171339351955,-1.144047904340263,-0.15141669456055432,0.14232165609482403,0.8006376031589812,0.3296525515355534,0.05842671061738228,0.03216351930234063,0.07455307824322353,0.18735998780919674,0.07541015643309057,0.1216531178492956,9.56700206774992,2.4463379095824904,0.34864909945971606
372.5,0.8374338506722343,-1.8477374509432083,10.020360922464867,-0.00042973976626005123,0.046110746857311716,0.3091061320077024,-2.471626951145935,-1.591639223123706,0.08210825938408975,52.35690538834853,4.9224790242730565,1.3999971115584362,2.1802055788777976,27.023906121821426,3.790091991424561,2.5,0,0,0,0,1,0,0.5580242969637232,0.11397772725696526,0.08434989659228863,-0.29319304917827443,-0.4769888419005613,0.15752859048692947,-0.17158324895369725,0.42964975527533183,-0.44485518319839773,9.682914709989037,0.03754444661331535,0.03246820540838931,0.3211685825613659,-2.1316872057028466,-1.2978504545255254,-0.04707264238391972,0.37471476784833385,1.4537586016951154,0.29456121203911545,0.061182494634028986,0.015573950412010859,0.023517079309576413,0.32814231394761106,0.26509885673340094,0.15024717525281903,10.22365209493803,2.940917708552191,0.31252677724759675
373.0,0.08646161266134589,0.24748760270919634,8.199091338303212,0.066703525519707,0.1233203799831351,0.052015988739528674,-0.819393723369146,-0.9279053886499492,-0.28085065961011346,52.35691391058877,4.922481016921479,0.7421688930943834,2.3493548721887705,15.636213324703505,3.790091991424561,2.5,0,0,0,0,1,0,0.5754670679950709,0.2368655186923732,0.20091085495311384,0.09325598681032272,-0.02344928506949826,0.15334349925785995,-0.16101779649531797,0.341457487500266,-0.714003036857072,9.256858058649524,0.02373766514862149,0.0616437344871914,0.23646382656716988,-1.7992265794052988,-1.2483185078394914,-0.13689908036230122,0.42958529116311356,1.0581790702706317,0.9456210327046611,0.037306236377356035,0.05556311485870203,0.16093226291109639,0.8679600849362269,0.3324593497338269,0.19276882426206907,8.203281325042894,1.269366604722923,0.14954243384569413
373.5,0.3967660401080691,-0.6364998991540917,9.448158498758588,0.023950845955952843,-0.001826321996487093,0.14906012327435378,-1.248614946843269,-0.9560657636465258,-0.30480985920167997,52.356929378294836,4.922475006640218,0.7917645950128287,3.1539576507344913,156.87576519225698,3.790091991424561,2.5,0,0,0,0,1,0,0.21171321441575486,0.08939682681955781,-0.003264786827065645,-0.04481319304268691,-0.2626044565143281,0.09804418750542963,-0.18534143356379632,0.4402205011472184,-0.7455832491293665,9.222536919842215,0.030074877236466544,0.05586826828131996,0.1700607480071948,-1.5132118737861173,-1.1585367918067258,-0.16785075314256637,0.377367252426495,1.051863294014271,0.9313616629444229,0.03398303468397923,0.0631413586514342,0.1298252869081744,0.8573081768262315,0.3753418957290785,0.2168020797149987,9.477882381094963,1.6018770490159293,0.1509831077458872
374.0,0.277580269835413,-0.25751147876949665,9.40149235294732,0.012254777803179082,0.10032226217317423,0.07695045575380767,-2.0309554355135866,-1.0972979607740725,-0.4748685894194064,52.356947219542704,4.9224663279006435,1.0336747088079885,4.145769650707202,319.30847238752966,3.790091991424561,2.5,1,0,0,0,0,0,-0.2241935749157908,-0.014474316102272946,-0.19806707571424348,0.07900747068733839,-0.24696488975841424,0.07596632348911188,-0.21117116832546767,0.25360264086827794,-0.21550792507146257,9.0162473966697,0.03430304975961292,0.07393877338660747,0.09267552258922988,-1.3663213685753346,-0.9937563710235144,-0.3535097027437318,0.15653563313643035,0.44348810553956897,0.7080624619939916,0.02866256486549847,0.06661449252608047,0.05039691763528055,0.6142976044811738,0.09076837161723249,0.10578041095894233,9.409113743091158,2.3567653623087508,0.1270279831661792
374.5,0.14007664659854627,0.5589752379989611,8.640138518005921,0.004908055508452498,0.11655243744438505,-0.1853254111062436,-2.287259381128654,-1.142688764599404,-0.5318372648759978,52.35696587192415,4.922454534503073,1.3924867701130343,4.321574911805817,341.2603486246202,3.790091991424561,2.5,1,0,0,0,0,0,-0.29094040283422185,0.0035858265582914615,-0.21855128680375152,0.22222905337315102,-0.12405122657660538,0.11655807274014515,-0.1906495434657653,0.27147431884734474,-0.11167871330820767,9.16326312323727,0.013704559755861425,0.07168279254035743,0.013561722640639123,-1.855609921161837,-1.0653508296733327,-0.4371719044990266,0.12845358369143456,0.6109342006299431,0.45363966618896806,0.00960382047882978,0.06417590737439333,0.17597448682982103,0.541068482052367,0.09732677180685115,0.11811494728568243,8.659334177287988,2.611540534935946,0.21898417222438596
375.0,0.9002511542684143,0.6644066968358688,8.592539595219183,0.01067406114730565,-0.09209158290985386,0.02719713841825608,-1.1472736984132974,-1.0699112284629462,-0.23921149655912194,52.35698731256576,4.922441384726072,1.7830788201365642,4.2569786489323596,343.7057038159848,3.790091991424561,2.5,1,0,0,0,0,0,-0.294587514281703,-0.008532222677201669,-0.2350800901167528,0.1692381324320974,-0.22869234646676884,0.21343237401249227,-0.18654898764105726,0.43930269023412644,0.32195681868844583,8.878056822057468,0.009278964819645694,0.04159437223590185,-0.027059272311393445,-1.8218295050185134,-1.1032993179454729,-0.41530578361817394,0.4050702734989251,0.5045954606882935,0.45393279305535994,0.003866950017978103,0.11605949164009928,0.1393017450114901,0.5980736412040437,0.03675805568103339,0.15513947256244526,8.665080789869844,1.5868740075847454,0.09661511042461572
375.5,0.13734760545544888,-0.2414678178441981,10.160331163944333,0.014700263202959613,0.043486776105435,-0.016632288200703088,-0.13775207932951686,-0.9117740740738314,-0.04238046652147845,52.35700468393961,4.922428418370199,1.845276977693303,4.058072894876415,344.2174681463884,3.790091991424561,2.5,1,0,0,0,0,0,-0.2972459145579368,-0.07769869560281997,-0.1190367010394672,0.027595812064464088,0.004132429680884646,-0.011848155612545434,-0.20424664772251014,0.39255846877413836,0.32730470566354536,9.131003092389806,0.01009412661957254,0.0226492102133221,-0.058253520296230356,-1.1907617196238236,-1.0414580223787258,-0.2711430759855313,0.43967688032768243,0.49538428088823255,0.8917419041012924,0.004921796006076326,0.105871313024946,0.11220830510688912,1.0754133233848036,0.11805755917130473,0.24628582721579606,10.164128119656755,0.9230946329902348,0.04882448612194262
