,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelturnright,labelbrake,labelaccelerate,labelstop,labelturnleft
135.0,0.6696316,-2.5236502,12.4009824,0.2126666,-0.1669446,-0.012461399999999997,0.5786438000000002,-0.9582369999999999,-1.1455414,52.349337,4.924416,-1.64509,4.71,32.200001,3.790092,2.5,1,0,0,0,0,0
135.5,0.49794620000000006,0.9604792,9.150751600000001,-0.30178920000000004,0.2103148,-0.088573,-0.7203012,-4.0042002,3.4800365999999996,,,,,,,,1,0,0,0,0,0
136.0,0.11521440000000016,-3.2267212,12.9006044,0.354383,-0.03243600000000002,0.0557092,0.15589100000000006,-0.6572388,0.22889919999999986,52.349373,4.924452,-1.646483,4.52,31.9,3.790092,2.5,1,0,0,0,0,0
136.5,1.1721840000000001,0.34785640000000023,8.3154772,-0.12781999999999996,0.1280946,-0.0075744,-0.457898,-0.6109532000000002,-1.9199286,,,,,,,,1,0,0,0,0,0
137.0,1.4594424000000001,-2.9184058,16.0682818,1.1025490000000002,-0.2497756,-0.07904340000000001,1.9081974,-0.08624759999999938,2.1076172,52.34941,4.92449,-1.953048,4.93,32.599998,3.790092,2.5,1,0,0,0,0,0
137.5,1.4417354,2.2224538000000003,8.221858200000002,-0.04999779999999998,-0.14593140000000004,-0.10848660000000002,1.0020008,-1.8790022,2.357169400000001,,,,,,,,1,0,0,0,0,0
138.0,-1.1568102,-2.0819351999999998,10.9922686,0.10882220000000002,-0.04135440000000001,0.0776996,-2.0023082,-0.7225108,-1.8573358000000002,52.349448,4.92453,-1.683928,4.92,33.299999,3.790092,2.5,1,0,0,0,0,0
138.5,-0.13244300000000003,-1.2028122,10.571490399999998,0.1451068,-0.1140452,-0.022967599999999994,1.2377442,-1.5278551999999999,1.3222572,,,,,,,,1,0,0,0,0,0
139.0,-0.9770492,-0.6365506,10.616475399999999,-0.11132679999999999,-0.12565140000000002,0.1408614,-1.7450357999999997,-1.6544801999999996,-0.4847069999999999,52.349486,4.924569,-1.662063,4.83,32.799999,3.790092,2.5,1,0,0,0,0,0
139.5,1.3942978,-2.3428725999999997,10.7854682,0.2147434,-0.024739200000000006,0.0105064,1.115076,-0.023611999999999987,-1.3664883999999997,,,,,,,,1,0,0,0,0,0
140.0,-0.8932408000000001,0.9162714000000001,5.7279388,-0.5189147999999999,0.12174180000000001,0.005375400000000005,-1.22258,-2.4644668,0.6739594,52.349523,4.924608,-1.67218,4.81,32.299999,3.790092,2.5,1,0,0,0,0,0
140.5,0.22384840000000011,-2.6660232,12.4023586,0.4303724,-0.26810100000000003,0.021135400000000002,0.9324032000000001,0.6028879999999999,-2.2417330000000004,,,,,,,,1,0,0,0,0,0
141.0,1.7608781999999998,0.292044,11.098091200000002,-0.0890922,0.255151,-0.045813599999999996,-0.7087438,-2.5474559999999995,1.2891808,52.349561,4.924646,-1.705552,4.94,31.1,3.790092,2.5,1,0,0,0,0,0
141.5,-0.27361939999999996,-0.3777072,8.7926062,-0.06639899999999999,-0.2382916,-0.025045,1.2683738000000002,-2.4456664,0.8059108,,,,,,,,1,0,0,0,0,0
142.0,-0.7529612,-3.1132418,9.4612806,0.115511,0.1300494,0.011850400000000002,-1.6405309999999997,0.9405377999999999,-2.0810324,52.3496,4.924683,-1.645845,4.82,30.9,3.790092,2.5,1,0,0,0,0,0
142.5,1.302832,-4.1026142,12.059347400000002,0.3305296000000001,0.1263846,0.028221200000000002,0.2793124,4.9661118,-9.4666462,,,,,,,,1,0,0,0,0,0
143.0,-1.4565708000000002,0.3981656000000002,5.2651672000000005,-0.1515204,0.1003622,0.0133164,-0.9355236000000001,-3.8192028000000002,1.0641028000000001,52.349637,4.924719,-1.67757,4.7,30.9,3.790092,2.5,1,0,0,0,0,0
143.5,1.0680364,-0.21254260000000008,8.725308400000001,0.33092659999999996,0.08338079999999999,-0.13927319999999999,1.2503904000000001,-0.5087174,-0.9474779999999999,,,,,,,,1,0,0,0,0,0
144.0,-0.8781658000000002,-0.6147758,10.0896358,-0.022876199999999992,-0.3208778,0.1529562,-2.0063586,-2.4604176000000004,0.22792659999999998,52.349674,4.924754,-1.806648,4.69,31.5,3.790092,2.5,1,0,0,0,0,0
144.5,0.8243272000000001,-0.9999605999999999,9.6054478,0.09147419999999999,0.2067718,-0.018325399999999985,0.7487366000000001,-0.9858752,0.24688860000000007,,,,,,,,1,0,0,0,0,0
145.0,0.06771680000000005,-1.8924833999999997,11.406704999999999,0.0812122,-0.16755539999999997,-0.06584920000000001,0.9969486,-0.5748838000000001,1.5998438,52.34971,4.92479,-2.08978,4.62,31.799999,3.790092,2.5,1,0,0,0,0,0
145.5,-2.26702,-0.9183654000000001,8.9381498,0.0999042,-0.1315154,0.02467820000000001,-0.7078199999999998,-1.2708391999999997,-1.8737591999999998,,,,,,,,1,0,0,0,0,0
146.0,2.0515462,0.3275774,9.5563954,0.0784022,0.0119116,-0.05790839999999999,0.8886084000000001,-2.467923,0.8585403999999999,52.349745,4.924827,-1.762194,4.59,32.700001,3.790092,2.5,1,0,0,0,0,0
146.5,0.8235496,0.22241280000000002,9.309755,-0.22970919999999997,-0.12552899999999997,0.12351340000000002,1.420717,-2.2079101999999997,1.3692646,,,,,,,,1,0,0,0,0,0
147.0,-0.570748,1.8513865999999997,8.1287774,-0.32918539999999996,-0.06371140000000002,-0.1083642,0.04656900000000006,-4.1391514,3.20781,52.349779,4.924864,-1.795693,4.51,32.900002,3.790092,2.5,1,0,0,0,0,0
147.5,0.2417948,-0.5881557999999999,10.401121600000002,-0.2020988,-0.205306,0.1831318,0.42049580000000003,-1.8693659999999999,0.25227659999999974,,,,,,,,1,0,0,0,0,0
148.0,2.7112476,-3.1125834,14.6760784,0.2914658,-0.0260834,0.0117282,2.0981958,-1.8796512,3.1117802,52.349813,4.924899,-1.700777,4.38,32.900002,3.790092,2.5,1,0,0,0,0,0
148.5,0.3397206000000001,-1.5523438,8.855238400000001,0.354383,0.0991406,-0.1409836,1.0166744,-0.23931279999999994,-1.3078490000000003,,,,,,,,1,0,0,0,0,0
149.0,-1.6161721999999998,0.20937199999999995,5.7307502,-0.21272760000000002,-0.17012100000000002,0.014660200000000002,-0.5781485999999999,-0.92544,-1.3479984000000003,52.349846,4.924933,-1.814664,4.26,32.599998,3.790092,2.5,1,0,0,0,0,0
149.5,0.4071986000000001,-1.1197809999999997,10.960264200000001,0.11920679999999999,-0.1684106,0.1122738,0.9741474,-1.7706458,1.6621746000000002,,,,,,,,1,0,0,0,0,0
150.0,-0.6521638,-1.1469996,9.629137199999999,-0.0699118,-0.11929859999999999,-0.0224788,-1.1204122,-1.3461986,-0.4299286000000001,52.349877,4.924967,-1.877527,4.16,33.299999,3.790092,2.5,1,0,0,0,0,0
150.5,0.6895518,-1.5473190000000003,10.344232200000002,-0.11474740000000003,-0.018753,0.08759560000000001,-0.7857926,-0.579022,-1.9486352000000005,,,,,,,,1,0,1,0,0,0
151.0,-0.007657000000000025,-2.1410378000000003,8.275038599999998,-0.055984,0.09816319999999999,-0.07110260000000002,0.5624736,-3.5837741999999997,0.1504174000000001,52.349906,4.924999,-1.876673,3.84,33.5,3.790092,2.5,0,0,1,0,0,0
151.5,-0.8520242,-3.699304,12.565669,-0.11499199999999998,0.006536199999999997,-0.12558999999999998,-0.215585,-3.7429648,0.3682302,,,,,,,,0,0,1,0,0,0
152.0,0.7632504,-3.29713,10.4224772,0.1488938,-0.026694000000000002,0.27390400000000004,-0.6121598,-2.7526941999999996,-0.9027215999999999,52.349929,4.925025,-1.784342,2.31,33.5,3.790092,2.5,0,0,1,0,0,0
152.5,0.5642876,-3.3261431999999997,8.9542412,0.0312446,0.13884580000000002,-0.042515199999999996,0.45260159999999994,-2.4984566,-0.5357538000000001,,,,,,,,0,0,1,0,1,0
153.0,-0.15200400000000003,-0.4022336,9.805488200000001,-0.0617264,0.26810080000000003,-0.0900388,0.37740739999999995,-0.9374696,-0.3728816000000001,52.349939,4.925037,-2.422625,0.85,32.900002,3.790092,2.5,0,0,0,0,1,0
153.5,0.5508876,-1.629871,10.801321,0.053235199999999996,0.33847060000000007,0.073546,-0.5680805999999999,0.13983660000000003,0.003300600000000031,,,,,,,,0,0,0,0,1,0
154.0,-0.12167499999999998,0.6086142000000001,10.2134644,0.009254400000000001,-0.091566,-0.018325400000000002,0.7906756,0.37927900000000003,0.25359740000000003,52.349941,4.92504,-2.37831,0.0,,3.790092,2.5,0,0,0,0,1,0
154.5,-3.0723842,-0.06412780000000001,9.400682399999999,-0.0640474,-0.19443259999999998,-0.018081000000000035,-1.0194982,0.7244465999999999,0.19054360000000004,,,,,,,,1,0,0,0,1,0
155.0,0.3306282,0.5596814,9.689196999999998,0.06826220000000001,-0.046974,0.051066999999999994,0.22218239999999997,0.42287280000000005,0.43531899999999996,52.349941,4.925042,-2.507824,0.43,32.900002,3.790092,2.5,1,0,0,0,0,0
155.5,0.21308080000000024,0.4929214,10.0544612,-0.128797,-0.083869,0.23994099999999996,-0.07794099999999989,-1.4645066,2.4877718,,,,,,,,1,0,0,0,0,0
156.0,0.9884749999999999,0.18598199999999998,9.357073399999999,0.07082780000000001,0.06004620000000001,-0.047646,0.7002634000000001,-0.46355140000000006,0.2368632,52.34995,4.925052,-2.735345,2.11,32.0,3.790092,2.5,1,0,0,0,0,0
156.5,1.021556,0.47425739999999983,11.16515,-0.0445002,0.0573586,-0.16859380000000002,0.6383186000000001,-0.5329269999999999,1.4263046,,,,,,,,1,0,0,0,0,0
157.0,-0.4347162,-0.9052048000000001,9.0096952,0.24296440000000002,-0.0654218,0.2839218,-0.1245146000000001,0.4801602000000001,-1.7737209999999997,52.349968,4.925067,-2.787314,2.44,27.200001,3.790092,2.5,1,0,0,0,0,0
157.5,-0.2976074,0.6339783999999999,9.8117094,-0.011636800000000003,0.04111,-0.038849800000000004,0.9977069999999999,0.575931,0.12673740000000003,,,,,,,,1,0,0,0,0,0
158.0,0.11419740000000005,-0.7253243999999999,9.596236000000001,-0.053052199999999994,0.05491500000000001,-0.6171084,0.2323086000000001,-0.2666606,-0.3795914,52.349988,4.925084,-2.805525,2.77,28.299999,3.790092,2.5,1,0,0,0,0,0
158.5,1.0900501999999999,-0.8520242,9.865547800000002,0.08304460000000001,-0.12333019999999997,0.586902,-0.42792879999999994,-0.950979,0.5089458,,,,,,,,1,0,0,0,0,0
159.0,-1.0131809999999999,-0.3763312000000001,9.6844112,-0.0922686,0.1241852,0.0018326000000000009,-1.01711,-0.09455619999999998,-0.7879667999999997,52.350008,4.925106,-3.130617,2.82,32.5,3.790092,2.5,1,0,0,0,0,0
159.5,0.7383651999999999,-0.5462814,10.2640126,0.055800800000000005,0.05613680000000001,-0.09944599999999999,0.6599086,-0.5963518,-0.4850316,,,,,,,,1,0,0,0,0,0
160.0,0.9179468,-0.15206400000000003,9.289117000000001,-0.06746819999999999,0.036100999999999994,-0.118749,0.7353136,-0.02443740000000001,-0.8275767999999999,52.350031,4.92513,-3.073565,3.21,33.0,3.790092,2.5,1,0,0,0,0,0
160.5,0.02757720000000017,-0.9207584000000001,9.2207422,-0.017500599999999988,0.0849688,0.1468476,0.06819160000000002,-0.9884464,0.11148340000000004,,,,,,,,1,0,0,0,0,0
161.0,0.5681756,0.1534998,8.2462648,-0.07137740000000001,0.155705,-0.277691,0.21547639999999996,-1.3381266,0.1785756,52.350056,4.925156,-3.0585,3.37,34.099998,3.790092,2.5,1,0,0,0,0,0
161.5,0.7170092,0.046181400000000004,10.1287582,0.11431999999999998,-0.14556480000000002,0.1324318,1.1128578,-0.5382392,0.36276899999999995,,,,,,,,1,0,0,0,0,0
162.0,0.23413779999999998,-1.4623138,10.8402044,-0.020066399999999995,0.22008840000000002,-0.079288,-0.20320999999999997,-0.7580169999999999,0.697997,52.350081,4.925184,-2.959815,3.46,32.700001,3.790092,2.5,1,0,0,0,0,0
162.5,0.3890131999999999,2.8473394,8.6175716,-0.6304860000000001,0.026816199999999978,-0.13487500000000002,1.1810699999999996,-5.8396584,11.9848436,,,,,,,,1,0,0,0,0,0
163.0,2.2078574000000004,1.2861420000000003,8.412925,-0.0767836,0.0023824000000000067,0.006108599999999988,1.9374306000000001,1.0011702000000002,-0.19536519999999977,52.350107,4.925212,-2.869247,3.5,35.5,3.790092,2.5,1,0,0,0,0,0
163.5,3.0656846,-0.9281162000000002,10.633703800000001,0.1252846,0.30377439999999994,-0.351848,1.974211,-2.5328158000000003,3.5895356,,,,,,,,1,0,0,0,0,0
164.0,0.7316654,-1.0133604,9.6830954,0.23539019999999997,-0.021929399999999995,-0.1181378,1.5170645999999999,-0.10686560000000016,-0.6416770000000002,52.350132,4.925243,-2.795891,3.56,37.400002,3.790092,2.5,1,0,0,0,0,0
164.5,2.399104,-1.8843477999999998,7.909057,-0.26300039999999997,0.1133122,-0.007330199999999986,0.8951471999999999,1.8573575999999998,-5.1524513999999995,,,,,,,,1,0,0,0,0,0
165.0,-0.9602394000000001,4.419423799999999,1.383829,-0.7425156000000002,0.019974799999999994,0.1553996,-0.7736044000000001,-3.3095674,1.0642435999999997,52.350156,4.925275,-2.804871,3.49,40.299999,3.790092,2.5,1,0,0,0,0,0
165.5,3.5574094,0.5824728000000003,10.7581308,0.31757939999999996,-0.08203679999999998,-0.0386054,1.818588,-0.12977219999999995,-0.9195402000000001,,,,,,,,1,0,0,0,0,0
166.0,-0.2629115999999999,-3.8776888000000005,15.440465799999998,0.33789020000000003,0.018997400000000005,-0.07403459999999999,-0.289711,-1.8342044000000004,-0.21901580000000004,52.35018,4.92531,-2.680732,3.69,42.700001,3.790092,2.5,1,0,0,0,0,0
166.5,-0.7529612000000001,-0.5173877999999998,13.543495400000001,0.24855359999999999,0.03304679999999997,-0.059374399999999994,0.15243840000000003,2.9002575999999998,-1.4625542000000002,,,,,,,,1,0,0,0,0,0
167.0,2.678765,-0.9742376,12.760803200000002,0.15756799999999999,-0.1136786,0.06071819999999998,2.5964662,-2.7551043999999996,-0.3457352,52.350203,4.925347,-2.769606,3.52,44.299999,3.790092,2.5,1,0,0,0,0,0
167.5,-2.2842482,-0.36604240000000027,8.066923,0.0809678,-0.0040928000000000075,-0.1181378,-2.8841168,-2.7231530000000004,2.3027016,,,,,,,,1,0,0,0,0,0
168.0,-0.5001,-3.069453,9.2905528,0.5233434,-0.2099482,0.136952,0.8458386000000001,0.5152797999999998,0.7574918000000004,52.350226,4.925383,-2.837913,3.55,45.299999,3.790092,2.5,1,0,0,0,0,0
168.5,-0.07489540000000001,-5.4853664,18.266329000000002,0.9940622000000001,-0.02095199999999999,-0.180811,-0.3623484,3.635388999999999,-7.9500166,,,,,,,,1,0,0,0,0,0
169.0,0.6176474000000001,4.539244399999999,5.7494743999999995,-0.392011,-0.13737939999999998,0.13841799999999999,2.2150286,-1.534412,0.10276800000000015,52.35025,4.925423,-2.885525,3.92,45.799999,3.790092,2.5,1,0,0,0,0,0
169.5,0.3634098,-2.867439,14.399528,0.8033558,0.5230686,-0.22955639999999997,-1.3399568000000002,-4.1431256,1.3814514,,,,,,,,1,0,0,0,0,0
170.0,-0.6972088,-0.8891727999999999,10.227342400000001,0.249195,-0.1905234,0.07672260000000002,-0.6644848,-2.010383,-0.6616352000000003,52.350273,4.925464,-3.281403,3.75,48.5,3.790092,2.5,1,0,0,0,0,0
170.5,-2.0869602,-3.5492737999999995,11.1074228,0.5004670000000001,-0.19870859999999999,-0.004031600000000005,-0.811576,-0.8744950000000001,-0.23570220000000006,,,,,,,,1,0,0,0,0,0
171.0,-0.4934000000000001,2.1130418,11.3459276,0.24259779999999997,0.12088679999999999,-0.028832000000000003,-1.4122568000000002,-5.806924599999999,6.2340114,52.350298,4.925507,-2.881624,4.31,48.0,3.790092,2.5,1,0,0,0,0,0
171.5,-1.0867003999999998,-0.3559922000000002,9.743993,-0.0014965999999999812,0.008979400000000004,0.085641,-1.0432544,-1.5110942,-0.9121766000000001,,,,,,,,1,0,0,0,0,0
172.0,1.3222738,2.9193038,3.350849,-0.4171476,-0.1120904,-0.03176380000000001,0.5962308000000001,-2.5008326,-2.9598738000000004,52.350323,4.92555,-2.86667,4.0,48.200001,3.790092,2.5,1,0,0,0,0,0
172.5,0.6279364000000001,-2.8993234,11.155997199999998,-0.063803,-0.03646759999999999,0.0905276,0.6565938,1.4574197999999998,-1.6429953999999998,,,,,,,,1,0,0,0,0,0
173.0,0.8645267999999999,0.2551350000000001,12.101999799999998,-0.2738122,-0.0776386,-0.062795,0.3076892,-3.5967603999999995,3.1560542,52.350348,4.925591,-3.1973,3.79,46.0,3.790092,2.5,1,0,0,0,0,0
173.5,-0.054317200000000024,-5.080500799999999,15.9695786,-0.09816319999999998,-0.1651122,0.126079,-0.852603,-1.7706955999999998,4.849046200000001,,,,,,,,1,0,0,0,0,0
174.0,-2.461377,-4.4918064,14.010754,0.11905420000000004,-0.09865179999999998,0.054243,-0.3014976,-2.4366832000000005,5.507462199999999,52.350368,4.925627,-3.845139,3.13,49.0,3.790092,2.5,1,0,0,0,0,0
174.5,2.3395224,2.6100312000000003,5.094678399999999,-0.5909948,0.48275239999999997,-0.17604640000000002,-0.8564390000000002,-6.7717068,0.3159518,,,,,,,,1,0,0,0,0,0
175.0,1.6042678,0.6732206000000002,9.9893764,-0.3905148,-0.22326459999999998,0.1915616,1.8728858000000002,-5.137953,4.262145,52.350389,4.925665,-4.031245,3.92,48.700001,3.790092,2.5,1,0,0,0,0,0
175.5,0.5082954,-0.6440282,10.769795599999998,-0.2728348,0.008490799999999998,-0.16285200000000002,0.4169620000000001,-1.9819687999999995,-0.5194356000000002,,,,,,,,1,0,0,0,0,0
176.0,1.5673588000000003,0.4246661999999999,10.864491400000002,-0.2521884,-0.0006720000000000059,0.16590639999999998,1.2422738,-6.710568599999999,8.744957200000002,52.350411,4.925705,-4.935854,3.74,50.099998,3.790092,2.5,1,0,0,0,0,0
176.5,0.02703899999999999,0.7485948000000004,9.450931800000001,-0.36061380000000004,-0.04501959999999998,-0.1325538,-0.05846539999999998,-1.0880449999999997,-1.2935789999999998,,,,,,,,1,0,0,0,0,0
177.0,-0.5367702000000001,-5.6320462000000004,18.079987999999997,0.7417824000000001,0.0233954,-0.017959000000000003,-1.1005668,-0.02485300000000006,-0.2656108,52.350431,4.925742,-5.035596,3.45,48.099998,3.790092,2.5,1,0,0,0,0,0
177.5,0.18669980000000025,-3.2740990000000005,10.710992,0.4183388,-0.027793800000000025,0.06096260000000002,0.6529680000000002,0.6310788,-4.698067999999999,,,,,,,,1,0,0,0,0,0
178.0,1.7194823999999997,-0.6624529999999997,11.503853799999998,-0.009712400000000019,0.2885032,-0.18447580000000002,0.5657172,-2.032029,-1.3533502000000002,52.350451,4.925777,-5.626734,3.38,48.0,3.790092,2.5,1,0,0,0,0,0
178.5,1.3843076,-2.3054246,12.724612,0.41106980000000004,-0.03231380000000002,0.017592200000000023,0.7906207999999999,-0.9825424000000001,-0.5126570000000001,,,,,,,,1,0,0,0,0,0
179.0,1.2071192,5.1040104,5.955077400000001,-0.036712000000000036,-0.06786499999999998,0.133531,0.2701646,-7.2117958,1.5342054,52.350472,4.925813,-6.319433,3.62,47.599998,3.790092,2.5,1,0,0,0,0,0
179.5,4.291108599999999,11.583355,-4.105126,-0.3614688000000001,0.585497,-0.2735374,4.5063908,-15.7580308,-2.0481342000000007,,,,,,,,1,0,0,0,0,0
180.0,1.5914065999999998,-1.327478,11.448819,-0.0032071999999999878,-0.0169206,-0.047524000000000004,1.4077188,-4.2357484,2.269033,52.350494,4.925849,-6.166915,3.6,44.5,3.790092,2.5,1,0,0,0,0,0
180.5,1.6485948000000001,0.3504888000000001,6.739205800000001,-0.252005,0.3587506,0.028221000000000013,-0.6300728000000001,-4.795152,2.1408343999999992,,,,,,,,1,0,0,0,0,0
181.0,0.6423534,-1.328256,8.5124664,0.13374480000000002,-0.008246399999999997,0.040682399999999994,-0.7047964,-2.1705316,-1.2762038000000004,52.350517,4.92589,-6.443043,4.14,48.5,3.790092,2.5,1,0,0,0,0,0
181.5,0.641875,3.6416367999999997,0.7321441999999998,-0.7809986,0.2972994,-0.06230660000000001,0.9208415999999999,-2.5860818,-2.843616,,,,,,,,1,0,0,0,0,0
182.0,-1.8568902,-1.6531411999999999,12.042478,0.1994416,-0.163035,0.03103079999999999,-1.3181352,-3.3334764,1.9135708,52.350537,4.925925,-7.348817,2.78,47.599998,3.790092,2.5,1,0,0,0,0,0
182.5,-0.7435693999999999,-2.2777278,10.9585296,0.2568917999999999,-0.3147696,-0.012216999999999997,0.7682325999999999,-1.1412468,1.1193614,,,,,,,,1,0,0,0,0,0
183.0,2.2016362000000003,-0.3754339999999998,9.947502199999999,-0.03316899999999999,0.14251099999999997,0.0478902,0.8289124000000001,-4.395800599999999,1.9685935999999997,52.350558,4.925962,-7.244273,3.99,50.200001,3.790092,2.5,1,0,0,0,0,0
183.5,1.2151948000000001,-3.0684960000000006,12.845748799999999,0.21511,0.25783860000000003,0.0015883999999999996,0.13453660000000003,-6.756975,5.8560938,,,,,,,,1,0,0,0,0,0
184.0,1.188156,-0.5721239999999999,10.219985,0.22757120000000003,0.050394800000000003,-0.114717,-0.6252854000000001,-1.5172897999999997,-0.48060880000000006,52.350583,4.926004,-7.420484,3.7,47.799999,3.790092,2.5,1,0,0,0,0,0
184.5,0.17910279999999998,-3.6392444,15.607664600000001,0.200083,-0.336516,0.0712248,1.5678348,-3.9758967999999997,2.531479,,,,,,,,1,0,0,0,0,0
185.0,2.0735602,-1.4257036000000003,11.268579599999999,-0.18676640000000005,0.13347040000000002,0.04715740000000003,1.3868896,-1.4300822,-0.33837079999999986,52.350607,4.926045,-8.106889,3.65,48.299999,3.790092,2.5,1,0,0,0,0,0
185.5,0.8206783999999999,3.3576686000000002,7.928079200000001,-0.3785728,-0.007513400000000003,-0.10873079999999999,0.8569196000000001,-6.050186399999999,1.7449839999999999,,,,,,,,1,0,0,0,0,0
186.0,-0.385484,-1.0932207999999999,10.3784496,-0.1770846,-0.04721840000000001,0.050333800000000005,-0.6404284,-2.4308904000000005,0.39330239999999994,52.35063,4.926085,-9.061301,3.7,47.900002,3.790092,2.5,1,0,0,0,0,0
186.5,0.020817400000000052,2.2622342,1.9794622,-0.9054588000000001,-0.21288040000000003,-0.0783106,0.6126290000000001,-3.0567451999999995,-1.3072157999999998,,,,,,,,1,0,0,0,0,0
187.0,0.26380859999999995,-3.4608590000000006,12.905449399999998,0.15460520000000003,-0.2506308,0.04850120000000001,1.2929378,-2.0975837999999998,-0.8091918,52.350655,4.926126,-8.38369,4.03,45.400002,3.790092,2.5,1,0,0,0,0,0
187.5,-0.31124659999999993,-1.5806388000000002,11.8353194,0.5594748,-0.088145,0.032985799999999996,-1.7082681999999998,-2.8097832000000005,-1.2166622000000005,,,,,,,,1,0,0,0,0,0
188.0,-0.21924220000000005,-0.3675375999999999,8.4466042,-0.3769538,-0.5202586,0.2537458,0.9510038,-1.5790444000000001,-0.13168260000000007,52.350683,4.926167,-7.844503,3.93,43.900002,3.790092,2.5,1,0,0,0,0,0
188.5,1.2985848,-0.9525827999999998,11.2872436,0.13093499999999997,0.2305948,-0.10848660000000002,-0.26776599999999995,-0.9248237999999999,-1.451592,,,,,,,,1,0,0,0,0,0
189.0,-2.7326033999999995,-8.484949,14.7933866,0.631097,0.1516734,0.024433799999999995,-2.3859885999999997,-5.099265,3.4888816,52.350712,4.926208,-7.504411,3.99,42.700001,3.790092,2.5,1,0,0,0,0,0
189.5,-1.55354,-2.6768508,11.383973600000001,-0.244064,0.3313844,-0.16822739999999997,-1.7331166000000002,-1.1717352,2.9296154000000003,,,,,,,,1,0,0,0,0,0
190.0,0.05916279999999996,-2.1185452,10.716555399999999,0.4694362000000001,-0.16877720000000002,0.09016099999999998,1.3602206000000001,-0.4374205999999998,-1.6495134000000005,52.350737,4.926242,-7.748498,2.76,45.5,3.790092,2.5,1,0,0,0,0,0
190.5,1.2473188,-0.9372685999999998,8.3157168,-0.09837699999999998,0.11856539999999997,0.0010995999999999998,-0.324314,-4.6933178,2.5689757999999996,,,,,,,,1,0,0,0,0,0
191.0,-0.9686743999999999,1.3165308,7.353503000000001,0.04120160000000004,-0.021196399999999994,0.001343799999999995,-1.9370574,-3.0560920000000005,0.028610000000000115,52.350759,4.926277,-8.691317,3.58,45.299999,3.790092,2.5,1,0,0,0,0,0
191.5,-1.0189834,0.7165906000000001,7.2256067999999996,-0.257808,-0.4910602,0.6854926,-0.9335701999999998,-2.6432914,-2.2362463999999997,,,,,,,,1,0,0,0,0,1
192.0,-0.09367900000000007,-4.3695336,13.122777600000001,0.6135044000000001,0.2090928,0.2450718,-2.254101,-4.6731506,3.543805,52.350782,4.926314,-8.469156,3.24,43.700001,3.790092,2.5,0,0,0,0,0,1
192.5,-0.0468994000000001,-2.5247865999999997,8.6888774,-0.06001579999999997,-0.30072,0.7955675999999999,-2.4796984,-1.9948800000000002,-1.8186676000000002,,,,,,,,0,0,0,0,0,1
193.0,2.5257438,-3.4484762000000004,10.718170400000002,0.36330120000000005,0.0467298,0.7899476,-3.6250565999999993,-1.4833859999999999,1.6163281999999999,52.350805,4.92634,-8.296929,2.71,32.5,3.790092,2.5,0,0,0,0,0,1
193.5,2.3000410000000002,-1.1793623999999998,10.809397,0.061665000000000005,0.0802042,0.41403239999999997,-1.78458,-0.2584416,1.325344,,,,,,,,0,0,1,0,0,1
194.0,1.8635899999999999,-0.9777071999999999,9.234740200000001,-0.06465839999999999,0.1827044,-0.13854,-0.4321738,1.2738562,-0.6992240000000001,52.350824,4.926348,-8.200035,1.71,352.799988,3.790092,2.5,0,0,1,0,0,0
194.5,-0.44895319999999994,-1.5190834,10.6128264,-0.12342159999999999,-0.11428959999999999,0.21856119999999998,-3.0934920000000004,-2.1243938,0.42914140000000006,,,,,,,,0,0,1,0,0,0
195.0,1.5777672,-4.1093736,9.318848,-0.0894586,0.013621799999999993,0.1782454,-1.1114229999999998,-1.8620642,0.8072821999999998,52.35084,4.92634,-8.213139,1.83,342.200012,3.790092,2.5,0,0,1,0,0,0
195.5,1.1678169999999999,-3.5473596,9.7715102,0.0631312,-0.052105200000000004,0.06462779999999999,-1.2257224,-0.6474542000000001,-0.02153000000000004,,,,,,,,0,0,1,0,1,0
196.0,0.9746564,-1.9648662000000001,9.4868836,0.0058335999999999995,0.05442640000000001,0.029198400000000003,-1.0054817999999999,0.0830102,0.2009156,52.35085,4.926327,-7.635556,0.67,312.899994,3.790092,2.5,0,0,0,0,1,0
196.5,0.33858439999999995,-1.894218,9.7579308,0.0077882,0.07861599999999999,-0.051922199999999995,-0.13561579999999998,0.28534699999999996,0.19457739999999998,,,,,,,,0,0,0,0,1,0
197.0,0.7674978000000001,-1.4974882,9.4340024,-0.0177452,0.057114399999999996,-0.0406822,-1.0996482,-0.1157134,0.18040399999999998,52.350852,4.926321,-7.075315,0.0,,3.790092,2.5,0,0,0,0,1,0
197.5,0.44847459999999995,-1.8771694,9.754999399999999,0.0345432,0.063467,-0.00024420000000000274,-0.4495266,0.1675434,0.127405,,,,,,,,0,0,0,0,1,0
198.0,0.23168519999999998,-1.5061622,9.287442000000002,0.003146000000000002,-0.0838692,0.0444696,0.32476540000000004,0.241238,0.0315156,52.350854,4.926319,-6.006588,0.0,,3.790092,2.5,0,0,0,0,1,0
