,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),labelnormal,labelturnright,labelturnleft,labelbrake,labelstop,labelaccelerate,Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,Acceleration x (m/s^2)_temp_mean_ws_3,Acceleration y (m/s^2)_temp_mean_ws_3,Acceleration z (m/s^2)_temp_mean_ws_3,Gyroscope x (rad/s)_temp_mean_ws_3,Gyroscope y (rad/s)_temp_mean_ws_3,Gyroscope z (rad/s)_temp_mean_ws_3,Linear Acceleration x (m/s^2)_temp_mean_ws_3,Linear Acceleration y (m/s^2)_temp_mean_ws_3,Linear Acceleration z (m/s^2)_temp_mean_ws_3,Acceleration x (m/s^2)_temp_std_ws_3,Acceleration y (m/s^2)_temp_std_ws_3,Acceleration z (m/s^2)_temp_std_ws_3,Gyroscope x (rad/s)_temp_std_ws_3,Gyroscope y (rad/s)_temp_std_ws_3,Gyroscope z (rad/s)_temp_std_ws_3,Linear Acceleration x (m/s^2)_temp_std_ws_3,Linear Acceleration y (m/s^2)_temp_std_ws_3,Linear Acceleration z (m/s^2)_temp_std_ws_3,total_acceleration,total_linear_acceleration,total_gyroscope,temp_pattern_labelnormal,temp_pattern_labelbrake,temp_pattern_labelnormal(b)labelnormal,temp_pattern_labelnormal(b)labelbrake,temp_pattern_labelbrake(b)labelnormal,temp_pattern_labelbrake(b)labelbrake
664.5,-0.8842718824419702,7.913151381495425,5.1147027745905165,0.0163458843608739,-0.0277505357591344,0.0031572719638876,-0.0807222050498915,-0.0182004600118202,0.089999486041114,1,0,0,0,0,0,52.348618001774874,4.922882392244201,3.1000610484271753,3.89989658524882,267.0253048928511,3.790091991424561,2.5,-0.0598304178519078,0.0453746879079518,0.0990565019574739,-0.2598841665707471,-0.1183671627524086,0.2982901399758112,0.2093660937934837,-0.6788045511012828,7.629579053657053,5.645661566567402,0.006302611935761814,0.014187471016410344,-7.32294669891878e-05,-0.1779712408560056,0.052397577355035176,0.03538411387865654,0.17879545187725895,0.3405617464990535,0.6178198337960684,0.008949484181494207,0.036437108056332684,0.006408532219232334,0.09522461098815205,0.07244857034296835,0.10752795594248223,9.46361907628072,0.12225889996406507,0.032361219641911056,1,0,1,0,0,0
665.0,-0.2719864632321549,7.682887242337068,6.014705443437863,0.0003100802392635,0.0616403087966133,0.028455926940336,-0.0683996656693497,0.0863567912030559,0.0556714495262065,1,0,0,0,0,0,52.3486151965526,4.9228472215461085,3.1168342654593366,3.8897119818415407,265.875950954759,3.790091991424561,2.5,-0.0565885674082256,0.0426854105951193,-0.0262989398916436,-0.2296097559377357,-0.0284408113159305,0.0314777309349894,0.2226614281380736,-0.5716197959267261,7.773260470506155,5.542639766829194,0.005276383624802147,0.02203985134597124,0.011896773983297913,-0.14005172448219047,0.038994925313236645,0.08343802906590997,0.30635024825763796,0.1228592451934493,0.45162119809783896,0.009603307601099398,0.04555827885653438,0.014348020473013897,0.11360057932900756,0.05296770972738706,0.025136555849480376,9.76101503871233,0.12343143822752761,0.06789229408651887,1,0,1,0,0,0
665.5,-0.1916232134295504,6.935935967652693,7.0805573239932,0.0035417964698998,-0.0210963076574369,-0.0364554759897392,-0.1950998694204643,0.0595511179060721,-0.0293382045182152,1,0,0,0,0,0,52.34861423738072,4.922816423813524,3.1839999188004686,3.8899089677411816,264.5596282761142,3.790091991424561,2.5,-0.03550484105773,0.0631578245174142,0.0427501814061321,-0.0066122415946895,-0.0348995059713806,-0.152826856377558,0.1642476336910365,-0.4492938530345583,7.510658197161728,6.069988514007193,0.006732587023345747,0.004264488460014011,-0.0016140923618384571,-0.11474058004656867,0.04256914969910267,0.03877757701636834,0.37883898628582846,0.5108665425181712,0.9840925722565627,0.008480720000308774,0.04980018330669818,0.03271768628332646,0.06986539047127481,0.0543078735409446,0.06143633528534066,9.913537170034575,0.20608499444670336,0.042268194291333015,1,0,1,0,0,0
666.0,-0.3389110867509481,6.710077902376954,6.848106016343832,-0.0033340713061965,0.0062273385194782,-0.0028073945250664,0.0019217946344628,0.1234152531072039,0.0053388816995383,1,0,0,0,0,0,52.34861390941716,4.922793758871472,3.1831123874474465,3.8671815797914975,264.320042625031,3.790091991424561,2.5,-0.0371883380282046,0.0691266729984217,0.0470936432751546,0.0085511436461418,-0.0776337238706572,-0.1612147423485841,0.1963458329902859,-0.2675069211375509,7.109633704122238,6.647789594591631,0.00017260180098894597,0.015590446552884878,-0.0036023145248231235,-0.0871925801517839,0.08977438740544404,0.010557375569176441,0.07374604484253017,0.5091342462645755,0.5604507645088634,0.003439994863271755,0.04215551885103755,0.0324630017241485,0.09984620299641143,0.03206894002143948,0.04274441283827507,9.593568793299749,0.12354562579036911,0.007601134160791571,1,0,1,0,0,0
666.5,-0.162378489913219,7.746734119299885,6.0319350950680395,0.0180112693589269,0.0437845512986176,-0.0511212109235017,0.0893113746323899,0.0433058412333393,0.0866071073199148,1,0,0,0,0,0,52.34861128691666,4.922773805702851,3.162781195380473,3.837203070005795,264.4399247716946,3.790091991424561,2.5,-0.0344655690886871,0.0469069890670382,0.0910849422128695,-0.2254094320757299,0.0310468176795284,0.0403766874864171,0.1805652569849326,-0.23097093003123895,7.130915996443178,6.65353281180169,0.006072998174210079,0.009638527386886314,-0.030128027146102354,-0.03462223338453737,0.07542407074887185,0.020869261500412545,0.09461565165389674,0.545139373684933,0.5507233367974969,0.010895463669733069,0.03257466226740963,0.024770621114476726,0.1456847226850253,0.042347874110232164,0.059512379862345435,9.819495775253683,0.13172967988261997,0.06967690408324874,1,0,1,0,0,0
667.0,-0.8265855750091609,6.918036345730365,6.770116758795359,-0.0024501227542166,-0.0734587109918457,0.0129410859460276,-0.1166120440731389,-0.0488189545686847,0.0787536335564588,1,0,0,0,0,0,52.34861039022168,4.92275475673988,3.1368945317647103,3.804930933786265,264.6797878388902,3.790091991424561,2.5,-0.0329195912684056,0.0902209297824064,0.0882263160367896,0.0728510894492716,-0.1034889922043488,0.0518855426107788,0.1940128395853836,-0.4426250505577758,7.124949455802401,6.550052623402411,0.004075691766171279,-0.007815607057916618,-0.013662506500846756,-0.008459624935428895,0.039300713257286256,0.05689987419197055,0.3440351765289471,0.5484284860955068,0.4503941728627938,0.012076654478514515,0.059869849494507146,0.033382174315866306,0.10335349049285854,0.08618692685676504,0.04482545284369216,9.714780055224171,0.14894225037389486,0.0746301348488445,1,0,1,0,0,0
667.5,-0.6182469898269684,7.0176138236580705,6.795843764684378,0.0047158600457999,0.0137679851908829,0.0165083025802689,0.0939887690965105,-0.0152143142397093,0.1362627031358126,1,0,0,0,0,0,52.34861008362044,4.922729970274589,3.0616276172197483,3.770793897762053,264.6599400178504,3.790091991424561,2.5,-0.0320662993168063,0.0882578808264498,0.0706971796848921,0.0427740614648668,-0.0317531581471505,0.007626737249595,0.2184349632162772,-0.5357370182497826,7.227461429562773,6.532631872849259,0.006759002216836746,-0.005302058167448386,-0.0072239407990683235,0.022229366551920333,-0.006909142525018151,0.10054114800406196,0.33970381883364514,0.45245111698141355,0.43380688925881244,0.010382579845599921,0.0609035758670553,0.038057968967246704,0.12026293062706518,0.0466205577862247,0.03118399250114711,9.788392390603601,0.16623143006044427,0.02200728984381438,1,0,1,0,0,0
668.0,-0.5994254720345737,7.475043891601693,6.478067514913173,-0.0003787000029585,0.0788429334175319,0.0540123373586617,-0.4372259077721047,0.0836331293125089,0.0254358024805106,1,0,0,0,0,0,52.34860746842423,4.922703270713629,2.9722519664155524,3.7360668060824223,264.553392827547,3.790091991424561,2.5,-0.0630129160673953,0.0693561487496014,-0.1266845948931939,-0.1185785719180024,-0.1058722617887408,0.0180289052762101,0.2882510849581606,-0.6814193456235674,7.136898020330044,6.681342679464303,0.0006290124295416125,0.006384069205523049,0.027820575294986143,-0.15328306091624452,0.00653328683470505,0.0801507130575939,0.12606937771927304,0.2970452679662906,0.17651080448657272,0.00368774194223211,0.07641884181214315,0.02275274837528383,0.267499216517332,0.0688520678374024,0.05542665740024981,9.909639287364046,0.445878879061984,0.09557030998442713,1,0,1,0,0,0
668.5,-0.3540223107092592,6.750411635417495,7.000259597138738,0.0117498941904146,-0.0841643391721986,-0.109066551184018,0.0803682268529772,0.0184707694326951,0.0714220173768153,1,0,0,0,0,0,52.34860657422676,4.922657180577889,2.8405331939684593,3.8002876272551336,264.5844451786224,3.790091991424561,2.5,-0.0288303257712956,0.0732673132754755,0.2243915327225646,0.0653362518353084,-0.0149997154055892,-0.0972009629395491,0.1302079335030385,-0.5238982575236002,7.08102311689242,6.758056958912096,0.005362351411085345,0.002815526478738751,-0.012848637081695724,-0.08762297060753917,0.02896319483516498,0.07770684099771275,0.1474175714172265,0.3664539951030918,0.2631387936102278,0.006090087240009419,0.08205370188581795,0.08541108477133412,0.302841608845812,0.050252089681143634,0.055680110750380526,9.731239564998534,0.1090931976664975,0.1382649940836611,1,0,1,0,0,0
669.0,-0.852342672483233,7.243376990020849,6.9455270032484195,-0.000430921016647,0.0094166909989614,0.0622394385098465,0.0467841644293478,0.0070662932148208,0.1064983845333717,1,0,0,0,0,0,52.34860626847948,4.9226294165825175,2.8266509459199036,3.8206015285210393,264.57261116030475,3.790091991424561,2.5,-0.0510714815818944,0.0797779533119645,0.0425332264114916,0.0226325201634778,-0.0907520265799695,0.0417514392283175,0.2539120842688202,-0.6019301517423551,7.156277505680013,6.807951371766777,0.003646757723603046,0.0013650950814315845,0.0023950748948301397,-0.10335783882992672,0.03639006398667501,0.06778540146356576,0.24916962255653113,0.37008474273467046,0.2869955286550118,0.007017570605872054,0.08180136842926379,0.09661620911857172,0.28962542689930065,0.041309150747581826,0.040653465826972685,10.071412195107115,0.11653581616553761,0.06294924517667763,1,0,1,0,0,0
