,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelturnright,labelbrake,labelaccelerate,labelstop,labelturnleft,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2363,0.05555414305007,-0.8296257219491345,10.9721902113454,-0.0032015129532335,-0.027032108594618,0.0918752401537263,0.3258760814188031,-0.88454292117209,-0.0928316318415866,52.357650850872034,4.921081568043854,5.054809428854254,3.4205002343521533,246.09566925289832,3.790091991424561,2.5,1,0,0,0,0,0,-0.0241402390751255,-0.1183886998056178,-0.011865443295184,-0.144382241539468,-0.0345430407275877,-0.0024342616619585,-0.0354439782355277
2364,-0.8539965771008545,0.131702090805503,8.741923255247599,0.0505205317922716,0.0871793124667566,-0.0726552739905348,0.3241817503114472,-0.4419354023766592,0.2032102463199949,52.35764325578115,4.921059302328504,5.073654950473647,3.5118483929364133,246.0132842096431,3.790091991424561,2.5,1,0,0,0,0,0,-0.0328172959796636,-0.0420141097689237,0.062574141149457,0.1133781353728081,0.19976895467432,0.0642472491058434,0.0064868033645135
2365,-0.90563902112112,-1.001019647546741,10.425563598524873,-0.0426753259976017,-0.0734008886258911,-0.0289969167516368,0.6258810276509552,-0.302705937379875,0.008920900229352,52.3576381491731,4.921036621697723,5.185402298149486,3.4364782939943908,246.6907627502796,3.790091991424561,2.5,1,0,0,0,0,0,-0.0219036274923748,-0.1018198304213936,0.0598396152555038,-0.1097985280232205,0.0260517518809832,-0.0416529669611271,0.0346251755306314
2366,-0.4745193699900005,-1.0125189823033685,10.019014030015656,-0.0505900363562495,-0.0658059695340034,0.1400437368855582,0.6873493866391129,-0.2956348833778313,0.0604436254805136,52.357631381914985,4.921014120562413,5.322405508847316,3.3119917830499555,247.47375258992545,3.790091991424561,2.5,1,0,0,0,0,0,-0.0260894126253422,-0.0980040634015588,0.0530443705026656,-0.0912527837880633,-0.0458239599413017,0.0018421115664015,0.0316050597305749
2367,-0.3322686203531276,-1.2976321933967352,10.528893642952257,-0.0066523598281816,-0.0186485700363379,0.0980607240181853,0.4450699014322919,-0.5160690616597736,0.5030755106012632,52.35762655821031,4.920992314962955,5.4886736622649,3.2858981157752627,247.28106929575284,3.790091991424561,2.5,1,0,0,0,0,0,-0.0274750147264616,-0.1339165112804235,0.0420949125665122,-0.1698818389237734,-0.0053301866067608,-0.014694054728256,0.0006962832010171
2368,-0.4250074601964152,-0.0215886928883235,7.83049532374253,0.0193244218946542,0.0423434137761221,0.0200708700377751,0.3285555665465717,0.0451491651533129,0.1627891378533146,52.35761988763154,4.9209707412796195,5.662897886206589,3.2887915281462736,246.9529083422476,3.790091991424561,2.5,1,0,0,0,0,0,-0.0341281009784027,-0.0349315140668331,0.0732253645768292,0.1703127759948731,0.0944836648464749,0.0842533894584508,0.0619114642049634
2369,-0.1253497314574272,-0.5143897849853272,9.501242018828062,0.0438709917789509,0.0605675733958469,-0.0842447137529332,0.6017910103256059,0.3399215047055589,-0.1398831598680692,52.35761509696603,4.920949562768155,5.613650006564032,3.2296855401891817,246.73511510666097,3.790091991424561,2.5,1,0,0,0,0,0,-0.0273396041696765,-0.0889305231534615,0.0744975288209721,0.0721254548157388,0.1420289767780485,-0.1071824638993631,0.0453364604126677
2370,0.4567425697961565,-0.2048567878149655,9.864300422450553,0.0120258510786686,0.0242883769068774,-0.0929664061824511,-0.0264468846117774,0.3592520162374984,0.002637017052892,52.35760843767806,4.9209285160208935,5.5036508641574144,3.1523140776787857,246.5326470446096,3.790091991424561,2.5,1,0,0,0,0,0,-0.0304715633213287,-0.0779331874397419,0.0244031334798705,0.0740787698245751,0.01606154346236,-0.0649892676202594,0.035345531262846
2371,0.4296210039083648,0.6233532409932739,8.907502513183205,0.0157019751828829,-0.0170792733421947,-0.043981245931993,-0.2322650080365642,0.3654646750690903,0.0503804389556149,52.35760365087107,4.920905606151209,5.545484097427447,3.3340839124526704,246.7628791781966,3.790091991424561,2.5,1,0,0,0,0,0,-0.0324750065674492,-0.0281504508305373,-0.0093547900977631,0.1917238281045184,-0.0275947267571915,0.0700148377630009,0.0555593867775852
2372,0.5320944575815881,0.0784177454384803,9.273151612867164,-0.0170548566142134,-0.0427967792429973,0.0176797395152287,-0.4260834538323713,0.1603345254055702,-0.1382127221848705,52.357596992901705,4.920881757208088,5.628593561574722,3.5921984911954836,247.0531941486128,3.790091991424561,2.5,1,0,0,0,0,0,-0.0237560527728689,-0.0574075682172731,-0.0738236858041476,0.1135648098369754,-0.117315989931508,0.0528713369737094,0.0514614721527576
2373,0.76537325275297,0.2696592313579603,9.022768979285932,-0.0028293643090711,-0.0453623028186823,0.035265946681393,-0.1294527569808473,-0.0600600140390787,0.1864997620471364,52.35758969548178,4.920857912987719,5.811119430193129,3.551851152327323,247.2226724092683,3.790091991424561,2.5,1,0,0,0,0,0,-0.0300547037748485,-0.0600572164797182,-0.0718722522215416,0.1181109268593932,-0.0671800066230499,0.1055049590365305,0.0310521947198277
2374,0.1640191301236785,0.3170251667316433,8.804820922286206,0.0106302885544491,0.0590936793341006,-0.0238734035554602,-0.7215802320407565,-0.0595775140564855,0.7151875780309421,52.35758469059971,4.9208340703420825,6.0206721608026115,3.42357459221856,247.3753718184495,3.790091991424561,2.5,1,0,0,0,0,0,-0.0376639384339503,-0.0555270315279384,-0.026452928718553,0.1296354984477555,-0.0051670349521671,0.1264452373720308,0.0451591551556023
2375,-0.1268274069364106,-0.0232258958250504,9.375938353224976,-0.0171920940652964,-0.0165256742691011,-0.0502506407274767,-0.91556815719964,-0.0594224427448367,0.8922948901229156,52.35757795810543,4.920810546064391,6.0756460967040455,3.3928374727187256,247.99938658924373,3.790091991424561,2.5,1,0,0,0,0,0,-0.035798343748674,-0.0714410010160115,-0.0218111999742022,0.0348872636442732,-0.0818427001584573,0.1274823260188402,0.0640901463243377
