Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
15.519309,-0.278506,-0.579450,0.926305
15.624097,-0.404784,0.227530,-0.241335
15.728887,1.028531,0.624242,-0.377602
15.833676,0.844790,0.549960,-0.042127
15.938466,-0.164183,-0.701367,0.678324
16.043255,-0.861334,-0.141852,0.059610
16.148045,-0.101993,0.237196,0.109073
16.252833,-0.714364,0.012410,0.195085
16.357624,-0.358384,0.072480,-0.407813
16.462412,0.622298,0.577565,0.330582
16.567202,1.297907,-0.107178,0.360489
16.671991,-1.308561,-0.874741,-0.336782
16.776781,-1.284682,-0.132987,1.073180
16.881570,1.484815,0.561784,-0.187342
16.986360,1.053643,0.761216,-0.118660
17.091149,-0.736634,-0.825692,0.834709
17.195939,-1.392756,-0.556244,0.012123
17.300727,-0.487967,0.552540,-0.263275
17.405518,-0.199797,0.347712,0.095148
17.510306,0.576119,0.367771,-0.053229
17.615096,-0.871329,-0.095053,0.287254
17.719885,0.380256,-0.405402,0.314171
17.824675,-0.547364,-0.051677,0.117222
17.929464,1.045315,0.274683,0.045260
18.034254,-0.149604,-0.105354,0.464354
18.139043,0.199120,0.348106,-0.240898
18.243833,-0.128920,-0.636385,0.855265
18.348621,-0.463665,-0.096722,0.200157
18.453412,0.212993,0.208171,-0.159948
18.558200,0.825917,0.289382,0.219173
18.662990,0.396340,0.133286,-0.432204
18.767779,-0.631710,-0.366225,0.462864
18.872569,-0.639344,-0.472611,0.340552
18.977358,0.145010,0.086321,0.255621
19.082148,0.991749,0.583326,0.005345
19.186936,0.559309,-0.150481,0.116038
19.291726,0.812320,0.440106,-0.392197
19.396515,0.603622,-0.661774,1.278125
19.501305,-1.507682,0.198558,-0.599906
19.606093,0.254938,0.061893,0.035381
19.710883,-0.382198,0.108479,0.461717
19.815672,1.037514,0.392041,-0.501969
19.920462,-0.126202,-0.367393,0.650993
20.025250,-0.495506,-0.561541,0.271632
20.130040,-0.766648,0.089329,0.002330
20.234828,0.864891,0.280811,-0.043869
20.339618,0.597238,0.353322,-0.070455
20.444406,0.919092,0.126060,-0.193997
20.549196,-0.989305,-0.023161,0.437898
20.653985,0.264702,-0.623896,0.942983
20.758774,0.982413,0.676510,-0.324533
20.863563,-0.960142,0.064561,-0.736334
20.968353,-0.288575,0.239943,0.062095
21.073141,-0.521799,0.150939,0.013656
21.177931,0.755685,-0.103954,0.454741
21.282719,-0.757605,-0.242075,0.074852
21.387509,1.974340,0.584513,-0.178816
21.492297,1.007945,-0.065975,0.006768
21.597087,0.183468,-0.063673,0.337191
21.701875,0.915962,0.089135,0.383112
21.806665,0.124462,-0.368813,0.321531
21.911453,-1.021536,-0.066849,-0.185894
22.016242,-0.766201,0.062064,0.236632
22.121031,1.262168,0.765743,-0.493201
22.225820,0.426236,0.101596,0.138865
22.330609,-1.886336,-0.356937,0.150597
22.435398,1.006193,0.060918,0.132120
22.540186,0.602259,0.658224,-0.487875
22.644976,0.327322,-0.840339,1.077989
22.749764,-0.958712,0.250564,-0.611987
22.854554,1.102613,0.815653,-0.109464
22.959342,0.561788,-0.472674,0.537329
23.064132,-0.291328,-0.241299,0.087450
23.168920,-0.492679,0.421060,-0.313106
23.273710,-0.528440,-0.425216,1.017805
23.378498,0.356699,0.402932,-0.900274
23.483288,-0.110551,0.806640,-0.242719
23.588076,-0.443201,-0.818097,0.465521
23.692866,0.106379,0.090341,-0.391430
23.797654,0.983854,0.211657,0.523488
23.902444,0.616643,0.558155,0.064860
24.007232,1.167396,-0.280650,-0.043988
24.112022,-0.836608,-0.110624,0.081224
24.216810,-0.098223,-0.424318,0.643463
24.321599,0.788036,0.466863,0.018031
24.426387,-0.728436,-0.133905,-0.245711
24.531177,-0.488604,-0.104461,-0.192639
24.635965,-0.451869,0.456489,-0.117959
24.740755,0.003082,0.412710,-0.089180
24.845543,1.498627,-0.274240,0.863818
24.950333,0.583467,-0.158664,0.208884
25.055121,-0.189661,0.189935,-0.527190
25.159910,1.257795,0.364219,-0.114869
25.264698,1.247125,0.695757,0.727931
25.369488,0.938755,-0.707157,0.039299
25.474276,-2.040916,-0.960866,0.193875
25.579065,0.853759,0.639610,0.624845
25.683853,0.305647,0.443222,-0.609032
25.788643,1.258317,0.764344,-0.810004
25.893431,0.369405,-0.375422,1.045848
25.998221,-1.658579,-0.208971,-0.336134
26.103009,0.610407,-0.493079,0.705779
26.207798,0.508615,0.469858,-0.087950
26.312586,0.889502,0.107624,-0.096900
26.417376,1.173233,0.023792,0.227103
26.522164,1.257941,0.609733,-0.197523
26.626954,0.534463,-0.773843,1.026196
26.731741,-1.959542,-0.805112,-0.099978
26.836531,0.059480,0.022055,0.668768
26.941319,-0.766367,0.650776,-0.639982
27.046109,0.134752,0.301034,-0.157823
27.150897,-0.735800,0.751296,-0.641711
27.255686,1.144499,0.100623,0.662266
27.360474,0.345310,-0.528741,0.292301
27.465264,-1.071071,-0.428288,-0.196364
27.570052,1.121480,0.731609,0.204631
27.674841,1.963537,0.406696,-0.391983
27.779629,0.732362,-0.320477,0.586710
27.884419,-0.321359,-0.522994,0.255832
27.989207,-0.899078,0.067786,0.406609
28.093997,-1.779075,-0.424072,-0.001900
28.198784,-0.409798,-0.047527,0.363554
28.303574,-1.134136,0.681032,-0.673297
28.408362,0.900917,0.595041,0.272255
28.513152,-0.505826,-0.802754,0.801682
28.617940,0.302992,0.067323,-0.262122
28.722729,1.739403,0.429814,-0.371994
28.827517,-0.340286,0.044556,0.836475
28.932307,0.760700,-0.485652,0.041872
29.037593,-0.469295,0.027211,0.504424
29.144379,-0.164143,-1.035235,0.724857
29.249167,1.486719,1.036170,-0.778504
29.353957,1.456948,-0.089297,0.748372
29.458745,-1.851223,-0.293815,-0.126912
29.563534,-1.768363,-0.564704,0.312385
29.668322,-0.844827,-0.398754,-0.143888
29.773111,-0.316786,0.300327,0.515424
29.877899,2.410841,0.132754,-0.272988
29.982689,-0.048053,0.404893,0.358762
30.087477,1.750652,-0.269882,0.470137
30.192266,-0.722128,-0.573501,0.359731
30.297054,-1.010838,-0.965330,0.750482
30.401844,0.721684,0.818394,-0.085094
30.506631,1.424124,-0.204722,-0.003008
30.611421,-0.007854,0.662792,-0.418180
30.716209,-1.408594,0.012148,-0.144243
30.820998,-0.968472,-0.901925,0.458357
30.925786,-0.895633,0.400537,-0.151514
31.030575,2.289031,-0.103260,0.572649
31.135363,-0.157852,-0.047399,0.086098
31.240152,1.463448,0.351921,-0.069891
31.344940,1.033953,0.281613,0.054883
31.449729,0.985449,-1.250055,1.156979
31.554517,-0.044281,0.177356,-0.014512
31.659306,0.388824,0.474200,-0.074300
31.764094,0.021259,0.047686,-0.156163
31.868883,-0.370392,0.744521,-0.613771
31.973671,-0.201264,0.001739,0.267353
32.078460,-0.957106,-0.272626,0.097582
32.183248,-0.465027,-0.208710,0.078894
32.288037,0.905067,0.079386,0.085087
32.392825,1.464772,0.314547,0.438844
32.497614,1.180503,1.151156,-1.057865
32.602402,1.250001,-0.687349,0.511851
32.707191,-1.168460,-0.682128,0.674731
32.811978,0.439618,0.533313,-0.091988
32.916768,-0.504786,-0.473267,0.045481
33.021555,1.235521,0.469953,-0.419310
33.126344,-0.865496,0.662787,-0.134190
33.231132,-0.467889,-0.359070,0.447835
33.335921,-0.160569,0.016834,0.639169
33.440709,1.421189,0.300285,-1.019644
33.545498,0.583541,-0.394065,0.700986
33.650285,0.029725,-0.082242,0.610195
33.755074,0.386783,0.305815,-0.747642
33.859862,0.885513,-0.000797,0.602977
33.964651,-0.429567,-0.309260,-0.241664
34.069438,-0.793734,0.143203,0.644504
34.174227,1.192421,0.293053,0.439741
34.279015,0.801591,1.052247,-1.894621
34.383804,-0.832542,-0.555696,0.608680
34.488591,-1.828567,-0.161050,0.077510
34.593380,0.828541,-0.097855,0.467223
34.698168,-0.953127,0.093175,-1.057330
34.802957,0.997577,-0.049758,0.875002
34.907744,0.900912,0.987845,-0.975697
35.012533,1.394829,0.572955,0.558488
35.117321,-0.013121,-0.801941,-0.055248
35.222110,-2.258306,-1.041693,1.181428
35.326897,-1.738772,0.073919,-0.412954
35.431686,1.136085,1.173848,-0.255781
35.536474,1.297823,0.005369,0.441104
35.641263,0.782988,0.352275,-1.097822
35.746050,-1.138676,0.351218,0.113944
35.850839,-0.249451,-1.121269,1.150502
35.955626,0.256926,0.092064,-0.476868
36.060415,0.705382,0.423028,-0.248079
36.165203,-0.379358,-0.139887,0.432004
36.269992,1.839433,0.196628,-0.198153
36.374779,1.226778,1.033812,-0.672194
36.479568,0.025577,-0.787566,0.988367
36.584355,-0.662069,-0.235446,0.111726
36.689144,-0.956097,0.399886,-0.881650
36.793932,0.213001,0.495106,0.057903
36.898721,0.911494,-0.157283,0.646810
37.003508,0.259072,1.294785,-0.815083
37.108297,-0.314824,-0.846942,0.077952
37.213084,-1.162914,-0.607727,0.818285
37.317873,2.097019,0.257049,-0.379494
37.422660,1.274452,0.603534,0.078930
37.527449,1.044971,0.173008,-0.372070
37.632237,-0.170157,-0.225390,0.325930
37.737026,-0.119701,-0.594005,1.061314
37.841813,-0.911818,-0.262865,-0.091095
37.946602,-1.215409,0.223329,-0.166539
38.051389,0.863522,0.247953,-0.055636
38.156178,-0.657814,0.999298,-0.651907
38.260965,1.271972,0.272123,-0.922174
38.365754,0.630649,-0.339272,1.073534
38.470542,-1.370439,-0.458337,0.159453
38.575330,0.138816,-0.046532,-0.225590
38.680118,-0.434181,0.145501,0.362334
38.784907,0.120643,0.812819,-0.630126
38.889694,1.266557,-0.201645,1.097183
38.994483,-0.828555,-0.392010,0.243655
39.099270,0.956661,0.474095,-0.599778
39.204059,-1.271798,-0.100887,-0.304966
39.308846,1.073530,-0.093602,0.662374
39.413635,-0.121398,0.468527,-0.838673
39.518422,-1.495784,-0.299219,0.668902
39.623211,-0.744640,-0.594398,0.579172
39.727998,0.044131,-0.420428,0.818539
39.832787,1.496123,0.422681,-0.716362
39.937574,-0.047852,0.504013,0.149015
40.042363,-0.293392,0.005790,-0.493040
40.147150,1.063674,-0.376377,0.902770
40.251939,-1.695916,-0.208528,-0.565196
40.356726,-0.917011,-0.103203,0.504845
40.461515,0.309326,0.431009,0.155351
40.566302,0.023891,0.278024,-0.335311
40.671091,-1.347078,0.011293,-0.607488
40.775878,0.783974,0.221487,0.390564
40.880667,1.871487,0.062705,0.884545
40.985454,-0.366224,-0.516007,0.106198
41.090242,-0.632020,-0.008458,0.080021
41.195029,0.082980,-0.591981,0.730309
41.299818,-0.516203,0.246092,-0.350688
41.404605,0.640722,0.446176,0.218123
41.509394,0.593847,-0.172589,0.110822
41.614181,0.930448,-0.188392,0.810116
41.718969,-0.140975,0.398697,-0.399808
41.823757,1.032896,0.425257,-1.199886
41.928545,1.376581,-0.019140,0.804184
42.033332,-0.466836,0.256823,0.261678
42.138121,0.568810,-0.347750,0.287558
42.242908,-0.251699,-0.575936,-0.067182
42.347696,0.578486,0.665777,0.181110
42.452483,1.111100,0.116535,0.103078
42.557272,1.208856,0.088501,0.167103
42.662059,-1.367815,-0.107951,-0.238310
42.766847,-0.578960,-0.485624,0.872991
42.871634,0.611862,-0.016014,0.093904
42.976423,0.756392,0.400621,-0.067469
43.081210,0.598030,0.500428,-0.370414
43.185999,-0.068607,-0.297182,0.332896
43.290786,-1.930913,-0.282884,0.024427
43.395574,-1.191062,-0.880181,0.814386
43.500361,0.399149,0.469720,0.216295
43.605150,1.950027,0.631879,-0.414799
43.709937,0.589705,-0.064123,-0.044333
43.814725,0.905808,-0.136491,0.536131
43.919512,-0.887193,-0.511205,0.402409
44.024301,-1.980052,-0.569918,-0.135495
44.129088,0.034800,0.343543,0.101576
44.233876,0.114450,0.191128,0.409632
44.338663,0.275399,0.267590,0.063927
44.443452,-1.278231,-0.517598,0.097544
