Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
0.063037,52.345840,4.921309,NaN,NaN,NaN,88.951065,0.000000
1.217707,52.346031,4.922021,3.758512,0.000000,NaN,8.022825,9.391571
2.032235,52.346031,4.922020,3.810086,0.000000,NaN,5.156422,6.295263
3.032235,52.346026,4.922008,4.658217,0.690000,267.600006,4.201442,4.699179
4.032234,52.346024,4.921983,5.333738,1.480000,272.899994,3.895981,4.031568
5.032234,52.346024,4.921949,5.045937,2.150000,274.600006,3.790092,3.547343
6.032234,52.346025,4.921908,4.627335,2.410000,275.100006,3.790092,3.238744
7.032235,52.346026,4.921866,5.152520,2.560000,274.500000,3.790092,2.962852
8.032234,52.346026,4.921827,4.924714,2.260000,273.000000,3.790092,2.789038
9.032235,52.346025,4.921783,5.135809,3.230000,270.399994,3.790092,2.500000
10.032234,52.346025,4.921736,5.639993,2.940000,270.600006,3.790092,2.500000
11.032234,52.346025,4.921692,5.820876,2.950000,270.600006,3.790092,2.500000
12.032234,52.346024,4.921645,6.147142,3.190000,270.899994,3.790092,2.500000
13.032234,52.346023,4.921597,6.094135,3.190000,269.600006,3.790092,2.500000
14.032234,52.346022,4.921547,5.904530,3.340000,268.899994,3.790092,2.500000
15.032234,52.346022,4.921497,5.699727,3.230000,269.000000,3.790092,2.500000
16.032234,52.346021,4.921449,5.185416,3.140000,270.299988,3.790092,2.500000
17.032234,52.346022,4.921402,5.416042,3.160000,270.700012,3.790092,2.500000
18.032235,52.346022,4.921353,5.238646,3.210000,271.100006,3.790092,2.500000
19.032235,52.346022,4.921306,5.256503,3.140000,270.000000,3.790092,2.500000
20.032234,52.346025,4.921260,5.836069,3.040000,275.399994,3.790092,2.500000
21.032234,52.346031,4.921218,6.012262,2.780000,283.399994,3.790092,2.500000
22.032235,52.346045,4.921188,5.508359,2.550000,307.100006,3.790092,2.711796
23.032234,52.346072,4.921165,5.110497,3.740000,332.100006,3.790092,2.799296
24.032234,52.346110,4.921149,5.800300,4.310000,345.700012,3.790092,2.785358
25.032235,52.346151,4.921134,5.696894,4.320000,343.799988,3.790092,2.927264
26.032234,52.346191,4.921113,5.361735,4.550000,341.700012,3.790092,3.122480
27.032234,52.346232,4.921091,4.722008,4.680000,340.200012,3.790092,3.243171
28.032235,52.346275,4.921056,4.749942,5.110000,339.500000,3.790092,3.232091
29.032234,52.346316,4.921022,4.383099,5.440000,341.100006,3.790092,3.188838
30.032235,52.346359,4.920978,4.532304,5.510000,335.299988,4.187564,3.406415
31.032234,52.346407,4.920933,4.001706,5.780000,337.899994,4.080574,3.622487
32.032235,52.346455,4.920885,4.274147,6.080000,337.000000,4.111869,3.632941
33.032235,52.346495,4.920848,4.405957,5.420000,341.000000,3.943210,3.505899
34.032234,52.346521,4.920820,4.402255,3.850000,338.700012,3.943373,3.640751
35.032235,52.346558,4.920786,4.628606,4.280000,339.200012,3.790092,3.286253
36.032235,52.346588,4.920760,4.325289,3.590000,337.000000,3.790092,3.081356
37.032234,52.346627,4.920741,4.919633,3.870000,341.200012,3.790092,3.132332
38.032235,52.346654,4.920712,4.298805,3.420000,330.399994,3.790092,3.113041
39.032234,52.346684,4.920693,4.478830,3.330000,340.799988,3.790092,3.052280
40.032234,52.346715,4.920673,4.105509,3.730000,344.299988,3.790092,3.056351
41.032235,52.346748,4.920652,3.948196,3.880000,344.399994,3.790092,3.106338
42.032235,52.346780,4.920633,3.622974,3.910000,344.600006,3.790092,2.975121
43.032234,52.346812,4.920613,3.747764,3.880000,342.000000,3.790092,2.984206
44.032234,52.346845,4.920596,3.091001,3.870000,341.000000,3.790092,2.955450
45.032235,52.346876,4.920578,2.593720,3.480000,341.700012,3.790092,3.015863
46.032235,52.346909,4.920562,2.837227,4.110000,343.500000,3.790092,2.982747
47.032234,52.346945,4.920544,2.007617,3.950000,343.799988,3.790092,2.887674
48.032235,52.346981,4.920525,2.063077,4.410000,341.299988,3.790092,2.612111
49.032234,52.347014,4.920504,1.562869,3.590000,340.100006,3.790092,2.591240
50.032234,52.347047,4.920482,2.838293,4.310000,339.700012,3.790092,2.501633
51.032234,52.347080,4.920458,3.394051,3.830000,340.000000,3.790092,2.500000
52.032235,52.347114,4.920437,3.600264,4.230000,342.299988,3.790092,2.513901
53.032234,52.347148,4.920417,4.159993,3.960000,340.000000,3.790092,2.603638
54.032234,52.347182,4.920397,4.608333,3.880000,340.200012,3.790092,2.500388
55.032235,52.347214,4.920377,4.370573,3.550000,337.000000,3.790092,2.681685
56.032234,52.347246,4.920360,5.049564,3.600000,339.100006,3.790092,2.744432
57.032235,52.347279,4.920350,5.155013,3.590000,346.399994,3.790092,2.704857
58.032234,52.347315,4.920360,5.135843,4.180000,8.700000,3.790092,2.692987
59.032235,52.347344,4.920403,4.193710,4.160000,44.000000,3.790092,2.546897
60.032234,52.347360,4.920469,3.844405,3.970000,69.500000,3.790092,2.500000
61.032234,52.347368,4.920540,3.597203,4.090000,79.400002,3.790092,2.500000
62.032234,52.347374,4.920611,2.968652,3.940000,76.300003,3.790092,2.500000
63.032234,52.347384,4.920677,2.717728,4.050000,71.300003,3.790092,2.500000
64.032235,52.347397,4.920742,2.433421,4.050000,70.000000,3.790092,2.500000
65.032235,52.347410,4.920806,1.939824,4.050000,70.000000,3.790092,2.500000
66.032235,52.347422,4.920870,1.580198,4.050000,72.300003,3.790092,2.500000
67.032235,52.347434,4.920934,1.168874,4.110000,73.000000,3.790092,2.500000
68.032235,52.347447,4.920998,1.016097,4.100000,71.300003,3.790092,2.500000
69.032234,52.347461,4.921059,0.565408,4.110000,69.000000,3.790092,2.500000
70.032234,52.347476,4.921120,0.398411,4.130000,68.300003,3.790092,2.500000
71.032235,52.347492,4.921180,0.052825,4.190000,68.099998,3.790092,2.500000
72.032234,52.347507,4.921238,0.203698,3.990000,69.099998,3.790092,2.500000
73.032234,52.347521,4.921297,0.094866,4.110000,68.900002,3.790092,2.500000
74.032234,52.347535,4.921356,-0.092580,4.110000,70.000000,3.790092,2.500000
75.032235,52.347549,4.921417,-0.128843,4.200000,71.300003,3.790092,2.500000
76.032234,52.347562,4.921479,-0.163212,4.280000,71.800003,3.790092,2.500000
77.032234,52.347576,4.921540,0.057790,4.310000,71.099998,3.790092,2.500000
78.032234,52.347592,4.921602,0.222826,4.400000,68.500000,3.790092,2.500000
79.032234,52.347608,4.921663,-0.004288,4.370000,67.800003,3.790092,2.500000
80.032235,52.347624,4.921723,-0.036579,4.310000,69.699997,3.790092,2.500000
81.032235,52.347639,4.921784,-0.405603,4.440000,71.000000,3.790092,2.500000
82.032234,52.347653,4.921846,-0.267241,4.460000,70.800003,3.790092,2.500000
83.032234,52.347670,4.921911,-0.246185,4.890000,69.300003,3.790092,2.500000
84.032234,52.347697,4.921984,-0.452220,5.280000,66.099998,3.790092,2.500000
85.032234,52.347714,4.922059,-0.506779,5.510000,68.699997,3.790092,2.500000
86.032234,52.347733,4.922140,-0.432609,5.970000,70.800003,3.790092,2.500000
87.032234,52.347751,4.922222,-0.362590,5.990000,71.099998,3.790092,2.500000
88.032234,52.347769,4.922303,-0.454254,5.810000,71.500000,3.790092,2.500000
89.032234,52.347785,4.922387,-0.986348,5.840000,70.599998,3.790092,2.500000
90.032235,52.347801,4.922470,-1.058848,5.690000,72.099998,3.790092,2.500000
91.032235,52.347820,4.922548,-1.190917,5.600000,70.699997,3.790092,2.500000
92.032234,52.347838,4.922625,-1.265616,5.580000,70.800003,3.790092,2.500000
93.032234,52.347857,4.922701,-1.091412,5.510000,69.099998,3.790092,2.500000
94.032234,52.347877,4.922777,-0.959504,5.360000,66.400002,3.790092,2.500000
95.032234,52.347898,4.922848,-0.994346,5.090000,64.900002,3.790092,2.500000
96.032234,52.347923,4.922911,-1.204174,5.180000,57.900002,3.790092,2.500000
97.032234,52.347949,4.922971,-0.844422,5.010000,54.700001,3.790092,2.500000
98.032234,52.347976,4.923029,-0.694570,4.710000,51.099998,3.790092,2.500000
99.032234,52.348006,4.923083,-0.841225,4.740000,48.299999,3.790092,2.500000
100.032235,52.348035,4.923133,-0.861907,4.680000,44.900002,3.790092,2.500000
101.032235,52.348068,4.923179,-1.193316,4.820000,43.000000,3.790092,2.500000
102.032235,52.348103,4.923220,-1.370733,4.560000,42.200001,3.790092,2.500000
