Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
15.490564,0.019853,0.018631,0.153017
15.595352,0.007941,0.085213,0.209826
15.700143,0.008094,0.060779,-0.097430
15.804931,0.023670,0.003207,-0.225555
15.909721,0.027946,-0.051769,-0.080479
16.014510,0.012981,0.072538,0.200511
16.119300,-0.022296,0.091474,0.153323
16.224089,-0.081701,0.118963,0.182643
16.328879,0.046424,0.058947,0.001069
16.433667,0.044286,-0.190584,-0.330927
16.538458,0.047799,-0.227082,-0.244186
16.643246,-0.025197,-0.016187,0.465313
16.748036,-0.029321,0.231969,0.481958
16.852825,0.083075,0.078952,-0.073913
16.957615,-0.001985,-0.081854,-0.290458
17.062404,0.010232,0.041079,0.188752
17.167194,0.029321,0.288473,0.394760
17.271983,-0.009010,0.146145,0.175619
17.376773,-0.010079,0.091322,-0.009163
17.481561,0.008399,-0.002138,-0.129958
17.586352,0.056656,-0.106440,-0.027794
17.691140,0.004734,0.064597,0.066430
17.795930,0.016035,0.054213,0.124613
17.900719,0.002749,0.086588,-0.016493
18.005509,-0.062001,0.076967,0.075898
18.110298,0.018631,0.139731,0.030390
18.215088,0.062612,0.159584,0.068415
18.319877,-0.004123,0.129347,0.040316
18.424667,0.078188,0.170732,-0.041690
18.529455,-0.016340,-0.078341,-0.229831
18.634246,-0.015729,-0.214407,-0.277936
18.739034,-0.034971,-0.014508,0.200969
18.843824,-0.009163,0.001374,0.208299
18.948613,0.033597,0.013439,0.101553
19.053403,-0.011912,0.068415,0.034971
19.158191,0.012981,0.086893,0.036345
19.262981,0.018631,0.039247,-0.163860
19.367770,0.063681,0.072080,-0.018936
19.472560,-0.025961,0.071011,0.114687
19.577348,-0.019853,0.123697,0.156530
19.682138,-0.012675,0.064292,-0.015118
19.786927,0.015577,-0.140953,-0.302522
19.891717,-0.001833,-0.207841,-0.055434
19.996505,0.030390,-0.071927,0.236856
20.101295,-0.009010,0.024892,0.300690
20.206083,-0.089489,0.039858,0.130263
20.310873,-0.012064,0.024128,-0.011606
20.415662,0.036804,0.207841,0.177451
20.520452,-0.034055,0.189210,0.191348
20.625240,0.123086,0.146451,-0.098041
20.730030,-0.035124,0.024739,-0.100332
20.834818,0.002443,0.174855,0.065819
20.939608,-0.016798,0.087504,0.085824
21.044396,-0.018784,-0.018325,-0.022907
21.149186,0.001374,0.141869,-0.058183
21.253974,0.054365,-0.187072,-0.124460
21.358764,0.017256,-0.112090,-0.316572
21.463552,0.004429,-0.140037,-0.095292
21.568342,0.016340,0.013897,0.121253
21.673130,0.019242,0.021838,-0.125835
21.777920,0.012981,-0.069637,0.014813
21.882708,-0.044592,0.229831,0.431411
21.987498,-0.028252,0.094529,0.107509
22.092286,0.054824,0.001833,-0.187225
22.197076,-0.015882,-0.033597,-0.031764
22.301864,-0.045050,-0.018020,0.231053
22.406654,0.036804,-0.118046,-0.138815
22.511442,-0.054060,-0.174091,-0.118963
22.616232,0.007788,0.100026,0.179131
22.721020,0.021838,-0.011606,0.204939
22.825810,-0.028710,0.127209,0.015271
22.930598,0.029321,0.091169,0.039705
23.035387,-0.007636,0.104455,0.084144
23.140176,0.035276,0.195318,0.129347
23.244965,-0.069178,0.211659,0.143091
23.349754,0.060627,0.053296,-0.081243
23.454543,-0.032069,-0.071164,-0.209215
23.559331,0.039858,-0.125529,-0.060627
23.664121,0.042454,-0.053144,0.051311
23.768909,-0.025045,0.039858,0.096972
23.873699,-0.001222,-0.153934,-0.220363
23.978487,0.012522,0.011301,0.010537
24.083277,-0.071469,0.211506,0.317182
24.188065,0.044286,0.160653,0.115908
24.292855,0.016646,0.097430,-0.187836
24.397643,0.037414,0.002596,-0.040927
24.502432,-0.036040,0.063375,0.199289
24.607220,-0.047035,0.066735,0.161875
24.712010,-0.010537,-0.054518,-0.049326
24.816798,0.059099,-0.109953,-0.257014
24.921588,0.045050,-0.060779,-0.048410
25.026376,-0.059252,0.045508,0.175313
25.131166,0.010384,0.051464,-0.098805
25.235954,-0.036193,-0.111938,-0.295956
25.340743,0.062306,0.142938,-0.017256
25.445531,0.019089,0.193944,0.430189
25.550321,0.006108,0.141869,0.055893
25.655109,0.039705,-0.073149,-0.299773
25.759898,-0.032833,-0.190126,-0.269231
25.864686,0.014049,-0.149199,-0.051311
25.969476,-0.031917,-0.088726,0.245866
26.074264,0.002596,0.001985,0.178978
26.179054,-0.029779,0.044592,0.074065
26.283842,0.035429,0.041996,-0.074065
26.388631,0.038483,-0.121711,-0.220821
26.493419,-0.014508,-0.085366,-0.219294
26.598209,0.001222,-0.047799,-0.034360
26.702997,-0.045355,0.241590,0.485165
26.807786,0.047646,0.150879,0.221738
26.912574,-0.025197,0.100484,0.056351
27.017364,-0.001680,0.102928,0.064750
27.122152,-0.038483,-0.035582,-0.111327
27.226942,0.058183,-0.280990,-0.354444
