"event","experiment time","system time","system time text"
"START",0.000000000E0,1717933863.292,"2024-06-09 13:51:03.292 UTC+02:00"
"PAUSE",8.275344076E2,1717934690.826,"2024-06-09 14:04:50.826 UTC+02:00"
