Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s)
0.084940,0.000153,-0.003360,-0.001374
0.189725,0.000153,-0.002443,-0.003207
0.294512,0.001374,0.007788,-0.015271
0.399298,-0.001985,-0.007330,0.000764
0.504085,0.003360,-0.014966,0.048104
0.608870,-0.003207,0.006108,-0.012064
0.713657,0.003665,0.055587,0.006872
0.818443,0.012828,-0.054976,0.097125
0.923230,-0.000916,-0.013133,0.039400
1.028015,-0.002138,-0.008399,0.050089
1.132802,0.030084,-0.052075,0.266788
1.237587,0.001985,-0.031000,0.123697
1.342374,-0.002443,-0.027641,0.006261
1.447160,-0.055282,-0.072844,0.133623
1.551947,-0.025045,-0.044134,-0.254418
1.656732,0.021380,0.072080,-0.155766
1.761519,0.023365,-0.183407,0.220363
1.866304,-0.056962,-0.272591,0.700031
1.971092,0.065819,-0.217920,0.549152
2.075877,0.008857,0.041996,-0.066735
2.180664,-0.049173,0.229373,-0.335050
2.285449,0.008246,0.096514,-0.170121
2.390236,0.016187,0.103386,-0.390026
2.495022,-0.033902,0.123849,-0.444239
2.599809,-0.022296,-0.093154,0.202954
2.704594,0.059405,0.031459,-0.213491
2.809381,0.065208,0.285266,-0.944828
2.914167,0.007025,-0.077119,-0.049173
3.018954,0.134845,-0.229526,0.241743
3.123739,-0.019700,0.273049,-0.946508
3.228527,-0.080174,0.305576,-1.204133
3.333312,0.058641,-0.002138,-0.682316
3.438099,-0.047341,-0.191195,-0.086129
3.542884,-0.017715,-0.295345,0.360858
3.647672,0.004429,-0.265871,0.331995
3.752457,-0.003054,-0.117894,0.037567
3.857244,0.091016,-0.183101,-0.028252
3.962030,0.069331,-0.109953,0.267246
4.066817,-0.066124,-0.251364,0.873512
4.171602,-0.175313,-0.212117,0.907719
4.276389,0.231511,0.040010,0.408657
4.381175,-0.052075,0.175771,-0.096361
4.485962,0.066582,0.293970,-0.567935
4.590748,-0.061237,0.019700,0.281448
4.695535,0.044897,-0.203259,0.779441
4.800320,0.099874,0.062459,0.274881
4.905107,0.023059,0.254723,-0.398731
5.009893,0.003207,0.219294,-0.481500
5.114680,-0.028404,0.020769,-0.001374
5.219466,-0.064903,0.038942,-0.316266
5.324253,-0.015118,0.158209,-0.470352
5.429038,-0.072691,-0.188141,0.215018
5.533826,-0.062001,-0.252280,0.414460
5.638611,-0.184476,-0.174550,0.347267
5.743398,-0.065972,-0.107051,0.298399
5.848184,-0.145840,0.036498,0.078952
5.952971,0.274270,0.129194,0.038178
6.057757,0.092391,0.198678,-0.361469
6.162544,0.152101,0.310005,-0.872443
6.267329,0.313517,0.046577,-0.188446
6.372117,-0.144313,-0.259305,0.206466
6.476902,-0.263581,0.192570,-0.278852
6.581689,-0.182796,0.197304,-0.638641
6.686475,0.133776,0.012675,-0.267398
6.791262,0.142938,-0.057878,0.086893
6.896048,0.098805,-0.100026,0.155155
7.000835,-0.141106,-0.313823,0.293665
7.105621,0.035887,-0.178826,0.574655
7.210408,-0.014355,-0.026419,0.246477
7.315194,-0.023212,0.218989,-0.433854
7.419981,-0.097430,0.155002,-0.591147
7.524766,-0.017409,-0.026419,-0.027641
7.629554,0.168747,-0.297941,0.391095
7.734339,0.077425,-0.093612,0.267704
7.839127,0.233802,-0.068568,-0.049479
7.943912,-0.048410,0.144771,-0.318862
8.048699,-0.031306,-0.021074,-0.016340
