Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2)
0.106199,-0.000491,0.002198,0.050759
0.210985,-0.002773,0.002019,0.041781
0.315772,-0.061233,0.091463,0.071170
0.420557,0.187318,-0.027252,0.079295
0.525344,-0.205808,-0.150700,0.019067
0.630129,0.150916,-0.035429,0.023469
0.734916,0.198577,-0.105786,0.187398
0.839702,-0.479834,0.140853,0.045831
0.944489,-0.242955,0.735612,-0.052375
1.049274,0.560789,1.487521,0.033417
1.154061,-0.392927,1.114937,0.191612
1.258847,-0.219344,1.097455,-0.024630
1.363634,0.128819,0.737629,0.009697
1.468419,-0.887852,0.578607,-0.152438
1.573206,-0.005710,0.672610,0.228299
1.677991,1.176148,0.451436,-0.333054
1.782778,-1.614845,0.050056,0.567223
1.887564,-0.636066,-0.969464,0.260457
1.992351,-1.492680,0.049547,-0.470870
2.097136,1.402561,0.626159,0.391980
2.201923,2.253274,0.461072,-0.173755
2.306709,0.155753,0.165392,-0.164400
2.411496,-0.871158,0.537408,0.115472
2.516281,1.951214,-0.483476,0.499559
2.621068,-0.459488,-0.202304,-0.617122
2.725854,-1.285955,-1.166975,0.753348
2.830641,2.548956,-0.180473,0.373282
2.935426,-0.234355,-0.688747,-0.667350
3.040213,-2.072196,-1.398974,0.212935
3.144999,2.017002,0.082361,-0.018902
3.249786,3.940557,0.127815,0.481632
3.354571,-0.526653,-0.120977,-0.436309
3.459358,-0.695038,0.215061,-0.395568
3.564144,-0.920884,-0.495539,0.701686
3.668931,-0.829801,-0.372504,0.193831
3.773716,0.221293,0.289918,0.297010
3.878504,0.176070,0.447148,-0.455717
3.983289,-0.346003,0.157495,-0.360820
4.088076,-1.063814,1.047417,-1.193329
4.192862,-1.649464,0.020871,0.688097
4.297649,0.589220,-1.730207,1.760438
4.402434,0.397433,0.582061,-1.712892
4.507221,1.893561,-1.180929,0.727008
4.612007,-0.459771,-0.660435,-0.191158
4.716794,-3.658069,-1.294825,0.798150
4.821579,0.111776,-0.407486,-0.363530
4.926367,1.947230,0.307593,0.220543
5.031152,0.793819,0.579799,-0.648285
5.135939,-0.480626,-0.427824,0.500194
5.240725,-0.752853,-0.382669,-0.131033
5.345512,1.996485,-0.118701,1.009338
5.450298,-1.111453,0.321900,-1.280011
5.555085,-2.554004,-0.710629,-0.233802
5.659870,-0.076322,0.448168,-1.016337
5.764658,0.067698,-0.803216,-0.151264
5.869443,0.333981,-0.406285,1.261154
5.974230,0.731256,-1.765825,1.913412
6.079016,0.793006,0.995930,-1.423682
6.183803,2.081847,-0.918861,2.487104
6.288589,0.987253,0.087935,-1.578888
6.393376,-2.169065,2.034590,-2.420155
6.498162,1.343261,-0.741172,0.132830
6.602949,2.440202,0.603083,1.472132
6.707734,0.500105,-0.836779,0.654361
6.812522,-0.541551,-1.318519,-0.086598
6.917307,-0.978697,-0.691451,-0.171324
7.022094,-0.917857,0.792878,-1.502326
7.126880,-0.693233,-0.962272,0.390717
7.231667,-0.514430,-0.276197,0.953158
7.336453,2.510663,-0.001381,0.539245
7.441240,1.670244,1.055524,-1.057670
7.546026,-0.019418,-0.742860,-0.220066
7.650813,-2.327931,-1.024994,0.541448
7.755599,-0.195078,0.631465,-0.998120
7.860386,-0.415323,-1.626050,2.737628
7.965172,2.250935,1.263146,-2.385262
8.069959,0.130107,-1.612004,1.870865
8.174744,-1.262732,0.691349,-0.661766
8.279532,0.963287,0.267134,-0.674875
8.384317,1.184343,0.279153,-0.623860
8.462607,0.065147,-1.266023,0.667724
8.482567,1.550138,0.072725,0.060118
8.582567,-1.098498,-1.177726,-1.976381
8.682567,0.862569,-0.941865,2.808539
8.782567,3.885346,-3.453856,3.593544
8.882567,0.244026,-5.245457,8.278534
8.982567,0.930826,-8.352948,16.112616
9.082567,-3.426403,1.889022,-3.498134
9.182567,-4.116670,6.365820,-11.504857
9.282567,-2.274941,5.817199,-10.485841
9.382567,-0.626946,-4.061962,6.081514
9.482567,-0.626946,-4.061962,6.081514
9.582567,-0.626946,-4.061962,6.081514
9.682567,-0.626946,-4.061962,6.081514
9.782567,-0.626946,-4.061962,6.081514
9.882567,-0.626946,-4.061962,6.081514
9.982567,2.787407,0.272116,0.041235
10.082567,-0.617534,-0.148550,0.022424
10.182567,-0.518532,-0.795505,0.937852
10.282567,-0.294275,-1.173706,0.885303
10.382567,-0.720759,0.608444,-0.231906
10.482567,0.492476,0.007170,-1.162372
10.582567,0.388436,-0.459066,-0.452258
10.682567,0.781591,0.056093,0.267342
10.782567,0.574483,-0.364265,-0.766320
10.882567,0.574483,-0.364265,-0.766320
10.982567,0.574483,-0.364265,-0.766320
11.082567,0.574483,-0.364265,-0.766320
11.182567,0.574483,-0.364265,-0.766320
11.282567,0.574483,-0.364265,-0.766320
11.382567,0.574483,-0.364265,-0.766320
11.482567,0.574483,-0.364265,-0.766320
11.582567,0.574483,-0.364265,-0.766320
11.682567,0.574483,-0.364265,-0.766320
11.782567,0.574483,-0.364265,-0.766320
11.882567,0.574483,-0.364265,-0.766320
11.982567,0.574483,-0.364265,-0.766320
12.082567,0.574483,-0.364265,-0.766320
12.182567,1.138800,0.005034,-0.331741
12.282567,-0.058671,0.270561,-1.579861
12.382567,-0.192703,-1.114405,0.880584
12.482567,-0.122419,-0.195550,0.433195
12.582567,0.919954,-1.323502,1.196158
12.682567,-0.266061,0.586377,-1.300050
12.782567,1.307867,-0.394690,-0.013362
12.882567,1.307867,-0.394690,-0.013362
12.982567,-0.916890,-1.193156,-0.329382
13.082567,-0.916890,-1.193156,-0.329382
13.182567,-0.916890,-1.193156,-0.329382
13.282567,-0.916890,-1.193156,-0.329382
13.382567,-0.916890,-1.193156,-0.329382
13.482567,-0.916890,-1.193156,-0.329382
13.582567,-0.916890,-1.193156,-0.329382
13.682567,-0.916890,-1.193156,-0.329382
13.782567,-0.916890,-1.193156,-0.329382
13.882567,-0.916890,-1.193156,-0.329382
13.982567,-0.916890,-1.193156,-0.329382
14.082567,-0.916890,-1.193156,-0.329382
14.182567,-0.916890,-1.193156,-0.329382
14.282567,-0.916890,-1.193156,-0.329382
14.382567,0.920880,0.226955,0.012681
14.482567,0.241199,0.803980,-0.181648
14.582567,-1.058104,1.042851,-0.086971
14.682567,-0.418992,0.512497,0.243016
14.782567,0.124947,0.223475,-0.047943
14.882567,0.229120,0.208035,0.109876
14.982567,0.546633,0.455712,-0.073383
15.082567,0.125724,0.249880,0.328702
15.182567,0.125724,0.249880,0.328702
15.282567,0.125724,0.249880,0.328702
15.382567,0.125724,0.249880,0.328702
15.482567,0.125724,0.249880,0.328702
15.582567,0.125724,0.249880,0.328702
15.682567,0.125724,0.249880,0.328702
15.782567,0.125724,0.249880,0.328702
15.882567,0.125724,0.249880,0.328702
15.982567,0.125724,0.249880,0.328702
16.082567,0.125724,0.249880,0.328702
16.182567,0.125724,0.249880,0.328702
16.282567,0.125724,0.249880,0.328702
16.382567,0.125724,0.249880,0.328702
16.482567,0.262635,0.143261,0.079345
16.582567,-0.006358,0.084393,0.062824
16.682567,-0.029200,0.042702,0.039728
16.782567,0.205703,0.153785,0.076620
16.882567,-0.017174,0.071696,0.051193
16.982567,0.030996,0.032466,0.063654
17.082567,0.016161,0.043325,0.051389
17.182567,0.051566,0.089397,0.046883
17.282567,-0.139108,-0.176991,0.013210
17.382567,0.079470,-0.388675,0.178053
17.482567,0.079470,-0.388675,0.178053
17.582567,0.079470,-0.388675,0.178053
17.682567,0.079470,-0.388675,0.178053
17.782567,0.079470,-0.388675,0.178053
17.882567,0.079470,-0.388675,0.178053
17.982567,0.079470,-0.388675,0.178053
18.082567,0.079470,-0.388675,0.178053
18.182567,0.079470,-0.388675,0.178053
18.282567,0.079470,-0.388675,0.178053
18.382567,0.079470,-0.388675,0.178053
18.482567,0.079470,-0.388675,0.178053
18.582567,-2.711417,-0.343001,-0.233800
18.682567,0.892073,0.510536,-0.088548
18.782567,1.493725,1.492642,-0.539071
18.882567,-1.793751,-0.416698,0.897283
18.982567,-2.745374,1.034678,-1.255275
19.082567,1.808079,0.095047,0.958087
19.182567,1.654090,0.575582,0.215561
19.282567,-1.384447,0.426731,0.130530
19.382567,-1.384447,0.426731,0.130530
19.482567,-1.384447,0.426731,0.130530
19.582567,-1.384447,0.426731,0.130530
19.682567,-1.384447,0.426731,0.130530
19.782567,-1.384447,0.426731,0.130530
19.882567,-1.384447,0.426731,0.130530
19.982567,-1.384447,0.426731,0.130530
20.082567,-1.384447,0.426731,0.130530
20.182567,-1.384447,0.426731,0.130530
20.282567,-1.384447,0.426731,0.130530
20.382567,-1.384447,0.426731,0.130530
20.482567,-1.384447,0.426731,0.130530
20.582567,-1.384447,0.426731,0.130530
20.682567,-0.428772,-0.955558,1.179941
20.782567,-1.175753,0.086195,-0.140675
20.882567,-1.779690,-0.158106,0.106212
20.982567,0.074482,-0.070707,-0.265924
21.082567,0.271121,-0.608149,0.427462
21.182567,-0.623278,-2.066126,1.689292
21.282567,0.486267,0.004290,-0.323649
21.382567,0.698956,-0.617549,-1.209834
21.482567,-0.270710,-0.130655,-0.834779
21.582567,0.155070,-0.915398,1.041373
21.682567,-2.377587,-1.351279,0.170831
21.782567,-2.377587,-1.351279,0.170831
21.882567,-2.377587,-1.351279,0.170831
21.982567,-2.377587,-1.351279,0.170831
22.082567,-2.377587,-1.351279,0.170831
22.182567,-2.377587,-1.351279,0.170831
22.282567,-2.377587,-1.351279,0.170831
22.382567,-2.377587,-1.351279,0.170831
22.482567,-2.377587,-1.351279,0.170831
22.582567,-2.377587,-1.351279,0.170831
22.682567,-2.377587,-1.351279,0.170831
22.782567,-2.377587,-1.351279,0.170831
22.882567,-1.954204,0.758549,-0.428965
22.982567,-1.126951,0.254280,-0.915861
23.082567,1.304969,-0.146000,1.422006
23.182567,0.919984,0.188971,-0.578327
23.282567,0.154825,-0.571049,0.321270
23.382567,-1.871221,-0.104358,0.210709
23.482567,1.802169,-0.551192,-0.265855
23.582567,0.862089,-0.109843,-0.481460
23.682567,1.488581,0.193640,-0.219843
23.782567,0.162968,-0.881517,1.408810
23.882567,0.162968,-0.881517,1.408810
23.982567,0.162968,-0.881517,1.408810
24.082567,0.162968,-0.881517,1.408810
24.182567,0.162968,-0.881517,1.408810
24.282567,0.162968,-0.881517,1.408810
24.382567,0.162968,-0.881517,1.408810
24.482567,0.162968,-0.881517,1.408810
24.582567,0.162968,-0.881517,1.408810
24.682567,0.162968,-0.881517,1.408810
24.782567,0.162968,-0.881517,1.408810
24.882567,0.162968,-0.881517,1.408810
24.982567,1.095623,0.736574,-0.353700
25.082567,0.562748,0.819265,-1.230109
25.182567,-0.433452,-1.777325,1.221383
25.282567,0.551311,0.313062,0.002645
25.382567,1.079067,-0.945329,0.686163
25.482567,2.154847,-0.877005,-0.146776
25.582567,0.293505,0.427668,0.174167
25.682567,-0.749998,-0.793505,0.312857
25.782567,-0.813068,-0.697417,0.177500
25.882567,-0.556428,-0.441524,-0.316516
25.982567,0.219732,-0.202019,0.821656
26.082567,0.219732,-0.202019,0.821656
26.182567,0.219732,-0.202019,0.821656
26.282567,0.219732,-0.202019,0.821656
26.382567,0.219732,-0.202019,0.821656
26.482567,0.219732,-0.202019,0.821656
26.582567,0.219732,-0.202019,0.821656
26.682567,0.219732,-0.202019,0.821656
26.782567,0.219732,-0.202019,0.821656
26.882567,0.219732,-0.202019,0.821656
26.982567,0.219732,-0.202019,0.821656
27.082567,0.219732,-0.202019,0.821656
27.182567,-0.955763,-0.784329,-0.031132
27.282567,0.464106,0.199243,0.167579
27.382567,0.450067,0.090679,-0.209761
27.482567,-0.828949,-0.739987,-0.044772
27.582567,-1.081475,-1.220724,0.404080
27.682567,0.834285,-0.212157,-0.088653
27.782567,0.382753,0.620199,-0.719467
27.882567,1.437319,-0.509696,0.254408
27.982567,-0.795105,0.207663,0.177956
28.082567,-1.205732,0.363224,-1.289701
28.182567,-1.205732,0.363224,-1.289701
28.282567,-1.205732,0.363224,-1.289701
28.382567,-1.205732,0.363224,-1.289701
28.482567,-1.205732,0.363224,-1.289701
28.582567,-1.205732,0.363224,-1.289701
28.682567,-1.205732,0.363224,-1.289701
28.782567,-1.205732,0.363224,-1.289701
28.882567,-1.205732,0.363224,-1.289701
28.982567,-1.205732,0.363224,-1.289701
29.082567,-1.205732,0.363224,-1.289701
29.182567,-1.205732,0.363224,-1.289701
29.282567,-1.205732,0.363224,-1.289701
29.382567,-1.587171,-0.312736,0.173151
29.482567,-0.995998,-0.937575,0.232379
29.582567,-0.458834,0.248465,0.014966
29.682567,0.345041,-0.172959,-0.274430
29.782567,0.932878,-0.173749,0.165614
29.882567,0.120068,-0.461335,0.519865
29.982567,-0.670643,-0.887758,-0.097048
30.082567,0.585222,0.271587,0.030507
30.182567,1.285830,0.089225,-0.585870
30.282567,1.285830,0.089225,-0.585870
30.382567,1.285830,0.089225,-0.585870
30.482567,1.285830,0.089225,-0.585870
30.582567,1.285830,0.089225,-0.585870
30.682567,1.285830,0.089225,-0.585870
30.782567,1.285830,0.089225,-0.585870
30.882567,1.285830,0.089225,-0.585870
30.982567,1.285830,0.089225,-0.585870
31.082567,1.285830,0.089225,-0.585870
31.182567,1.285830,0.089225,-0.585870
31.282567,1.285830,0.089225,-0.585870
