Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
69.306984,52.351072,4.923613,2.816443,3.530000,318.299988,3.790092,2.915066
70.306984,52.351098,4.923576,2.504020,3.710000,321.399994,4.047611,3.269295
71.306984,52.351123,4.923539,2.352118,3.520000,318.899994,3.790092,3.104030
72.306984,52.351147,4.923500,2.229510,3.550000,316.500000,3.790092,3.101430
73.306984,52.351172,4.923461,1.936677,3.570000,314.799988,3.877769,3.328483
74.306984,52.351198,4.923421,1.862837,3.660000,315.600006,4.181774,3.605932
75.306984,52.351223,4.923383,2.612912,3.620000,316.399994,3.790092,3.347494
76.306984,52.351247,4.923348,2.129588,3.280000,315.700012,3.810551,3.273707
77.306984,52.351272,4.923309,2.906335,4.020000,315.899994,3.790092,3.137483
78.306984,52.351298,4.923270,3.091224,3.720000,315.100006,3.790092,3.004766
79.306984,52.351324,4.923231,2.947867,3.820000,316.299988,3.790092,3.159857
80.306984,52.351347,4.923195,2.355351,3.290000,315.799988,4.014420,3.332915
81.306984,52.351371,4.923159,2.548418,3.730000,317.399994,4.176686,3.474503
82.306984,52.351397,4.923121,2.633820,3.650000,316.799988,3.790092,3.230109
83.306984,52.351423,4.923081,2.832809,3.710000,316.799988,3.790092,3.216667
84.306984,52.351445,4.923047,3.053219,3.030000,315.100006,3.982484,3.358355
85.306984,52.351468,4.923009,2.867806,3.920000,314.899994,3.790092,3.214063
86.306984,52.351493,4.922967,3.425739,3.560000,314.399994,3.790092,3.099367
87.306984,52.351516,4.922928,3.629607,3.590000,315.899994,3.790092,2.991358
88.306984,52.351539,4.922889,3.605324,3.320000,315.399994,3.790092,3.047703
89.306984,52.351563,4.922850,3.737233,3.680000,316.799988,3.930124,3.267571
90.306984,52.351587,4.922812,4.046571,3.490000,315.500000,3.790092,3.039124
91.306984,52.351610,4.922776,4.642714,3.350000,316.700012,3.790092,3.075260
92.306984,52.351634,4.922738,4.589381,3.760000,315.799988,3.829720,3.133939
93.306984,52.351658,4.922698,4.094397,3.370000,315.899994,3.790092,3.086969
94.306984,52.351680,4.922662,3.435045,3.210000,315.000000,3.790092,3.168833
95.306984,52.351703,4.922628,3.647277,3.390000,317.100006,3.856395,3.250259
96.306984,52.351727,4.922590,4.222607,3.740000,317.399994,3.790092,3.035116
97.306984,52.351751,4.922553,4.375268,3.440000,317.100006,3.790092,2.979748
98.306984,52.351773,4.922518,4.100438,3.360000,314.500000,3.790092,3.007482
99.306984,52.351795,4.922481,4.754683,3.490000,314.100006,3.790092,2.825282
100.306984,52.351817,4.922444,4.832269,3.460000,314.399994,3.790092,2.692721
101.306984,52.351838,4.922409,5.075260,3.270000,316.600006,3.790092,2.779534
102.306984,52.351860,4.922372,5.283948,3.540000,315.799988,3.790092,2.800558
103.306984,52.351880,4.922335,5.165059,3.080000,316.000000,3.790092,2.913220
104.306984,52.351902,4.922298,5.275299,3.680000,315.899994,3.790092,2.895027
105.306984,52.351927,4.922261,4.968368,3.520000,318.899994,3.790092,2.728684
106.306984,52.351951,4.922229,5.242187,3.210000,320.399994,3.790092,2.520381
107.306984,52.351974,4.922197,5.015028,3.170000,320.000000,3.790092,2.500000
108.306984,52.351999,4.922164,5.208464,3.380000,319.299988,3.790092,2.500000
109.449063,52.352021,4.922128,5.104349,3.210000,315.100006,3.790092,2.500000
110.306984,52.352042,4.922092,5.610706,3.150000,316.100006,3.790092,2.500000
111.306984,52.352063,4.922057,6.088498,3.280000,316.399994,3.790092,2.500000
112.306984,52.352086,4.922022,6.155345,3.340000,322.000000,3.790092,2.500000
113.306984,52.352109,4.921991,6.285364,3.040000,322.799988,3.790092,2.500000
114.306984,52.352132,4.921962,6.417032,3.110000,325.299988,3.790092,2.500000
115.306984,52.352156,4.921936,7.075988,3.110000,327.700012,3.790092,2.557934
116.306984,52.352181,4.921908,7.414996,3.360000,327.200012,3.790092,2.500000
117.306984,52.352206,4.921878,7.156714,3.200000,326.399994,3.790092,2.500000
118.306984,52.352230,4.921849,6.995659,3.200000,323.399994,3.790092,2.500000
119.306984,52.352252,4.921821,7.230660,2.820000,324.899994,3.790092,2.524632
120.306984,52.352273,4.921792,7.402609,2.880000,322.700012,3.790092,2.500000
121.306984,52.352294,4.921765,7.359654,2.880000,323.299988,3.790092,2.500000
122.306984,52.352314,4.921738,7.160082,2.840000,323.299988,3.790092,2.500000
123.306984,52.352335,4.921713,7.459841,2.790000,323.700012,3.790092,2.500000
124.306984,52.352356,4.921687,7.267900,2.770000,322.500000,3.790092,2.500000
125.306984,52.352377,4.921661,7.049470,2.890000,322.399994,3.790092,2.500000
126.306984,52.352399,4.921635,6.916551,2.920000,323.399994,3.790092,2.500000
127.306984,52.352411,4.921620,7.002315,0.590000,323.700012,3.790092,2.500000
128.306984,52.352414,4.921619,6.844176,0.000000,NaN,3.790092,2.500000
129.306984,52.352415,4.921621,6.823243,0.000000,NaN,3.790092,2.500000
130.306984,52.352419,4.921617,6.679204,0.800000,323.000000,3.790092,2.500000
131.306984,52.352430,4.921606,6.587783,1.920000,327.100006,3.790092,2.500000
132.306984,52.352448,4.921597,5.916965,2.060000,341.000000,3.790092,2.500000
133.306984,52.352472,4.921601,5.823557,3.140000,6.600000,3.790092,2.500000
134.306984,52.352497,4.921630,5.353028,3.470000,38.000000,3.790092,2.500000
135.306984,52.352517,4.921674,5.063836,3.350000,52.400002,3.790092,2.500000
136.306984,52.352534,4.921724,5.086472,3.710000,57.900002,3.790092,2.500000
137.306984,52.352553,4.921776,5.022687,4.060000,54.000000,3.790092,2.500000
138.306984,52.352575,4.921827,4.708233,3.940000,53.500000,3.790092,2.500000
139.306984,52.352597,4.921878,4.675091,4.080000,53.900002,3.790092,2.500000
140.306984,52.352620,4.921930,4.957135,4.160000,55.000000,3.790092,2.500000
141.306984,52.352644,4.921981,5.074386,4.030000,53.099998,3.790092,2.500000
142.306984,52.352666,4.922031,4.830123,4.040000,54.099998,3.790092,2.500000
143.306984,52.352690,4.922082,4.964524,4.170000,51.900002,3.790092,2.500000
144.306984,52.352713,4.922130,4.705368,3.820000,52.299999,3.790092,2.500000
145.306984,52.352735,4.922174,4.626690,3.690000,50.000000,3.790092,2.500000
146.306984,52.352757,4.922217,4.213843,3.480000,51.000000,3.790092,2.500000
147.306984,52.352777,4.922254,4.026759,2.910000,49.000000,3.790092,2.500000
148.306984,52.352800,4.922284,3.285658,3.210000,38.599998,3.790092,2.500000
149.306984,52.352830,4.922300,4.263065,3.460000,15.600000,3.790092,2.500000
150.306983,52.352865,4.922295,4.268545,4.000000,353.100006,3.790092,2.500000
151.306984,52.352900,4.922274,4.606839,3.650000,338.799988,3.790092,2.500000
152.306984,52.352931,4.922246,4.357782,3.670000,334.100006,3.790092,2.500000
153.306984,52.352962,4.922215,4.270589,3.900000,332.399994,3.790092,2.500000
154.306984,52.352993,4.922181,3.836715,3.880000,330.399994,3.790092,2.500000
155.306984,52.353022,4.922149,4.048469,3.640000,331.700012,3.790092,2.500000
156.306984,52.353051,4.922119,3.805023,3.650000,331.899994,3.790092,2.500000
157.306984,52.353079,4.922089,3.969841,3.660000,333.100006,3.790092,2.500000
158.306984,52.353108,4.922059,3.873185,3.750000,331.899994,3.790092,2.500000
159.306984,52.353137,4.922029,3.904458,3.730000,331.399994,3.790092,2.500000
160.306984,52.353165,4.922000,3.954287,3.770000,331.600006,3.790092,2.500000
161.306984,52.353194,4.921971,4.139918,3.670000,330.700012,3.790092,2.500000
162.306984,52.353221,4.921941,4.165452,3.580000,329.299988,3.790092,2.500000
163.306984,52.353249,4.921913,4.083811,3.840000,332.600006,3.790092,2.500000
164.306984,52.353278,4.921886,4.244969,3.770000,332.899994,3.790092,2.500000
165.306984,52.353308,4.921860,4.067324,3.920000,335.399994,3.790092,2.500000
166.306984,52.353339,4.921834,4.120757,3.820000,333.700012,3.790092,2.500000
167.306984,52.353367,4.921809,4.145564,3.640000,333.899994,3.790092,2.500000
168.306984,52.353396,4.921783,4.117636,3.720000,332.600006,3.790092,2.500000
169.306984,52.353424,4.921755,4.304854,3.620000,331.399994,3.790092,2.500000
170.306984,52.353451,4.921727,4.639777,3.520000,330.700012,3.790092,2.500000
171.306984,52.353482,4.921708,4.676735,3.730000,340.500000,3.790092,2.500000
172.306984,52.353513,4.921705,4.653523,3.310000,358.899994,3.790092,2.500000
173.306984,52.353543,4.921727,4.519362,3.710000,26.400000,3.790092,2.500000
174.306984,52.353567,4.921770,3.908643,3.560000,50.000000,3.790092,2.500000
175.306984,52.353584,4.921824,4.185004,3.710000,61.599998,3.790092,2.500000
176.306984,52.353598,4.921881,3.958005,3.580000,66.099998,3.790092,2.500000
177.306983,52.353612,4.921935,3.997607,3.640000,63.400002,3.790092,2.500000
178.306984,52.353627,4.921989,3.842752,3.660000,63.000000,3.790092,2.500000
179.306984,52.353642,4.922041,4.066315,3.580000,63.000000,3.790092,2.500000
180.306984,52.353657,4.922093,4.226889,3.630000,63.700001,3.790092,2.500000
181.306984,52.353674,4.922147,4.683486,3.950000,63.500000,3.790092,2.500000
182.306984,52.353691,4.922200,4.324044,3.800000,61.599998,3.790092,2.500000
183.306984,52.353709,4.922253,4.607486,3.890000,61.000000,3.790092,2.500000
184.306984,52.353726,4.922306,4.520138,3.820000,63.400002,3.790092,2.500000
185.306984,52.353742,4.922360,4.114369,3.810000,65.199997,3.790092,2.500000
186.306984,52.353759,4.922413,4.544783,3.850000,63.799999,3.790092,2.500000
187.306982,52.353776,4.922461,4.514683,3.400000,62.500000,3.790092,2.500000
188.306984,52.353795,4.922511,4.388946,4.130000,60.000000,3.790092,2.500000
189.306984,52.353816,4.922563,4.577116,3.850000,62.400002,3.790092,2.500000
190.306984,52.353834,4.922611,4.869466,3.410000,60.700001,3.790092,2.500000
191.306984,52.353855,4.922651,4.392529,3.570000,53.599998,3.790092,2.500000
192.306984,52.353871,4.922673,3.508532,1.120000,46.500000,3.790092,2.500000
193.306984,52.353900,4.922686,4.921606,4.700000,20.200001,3.790092,2.500000
194.306984,52.353941,4.922694,4.259497,3.800000,6.900000,3.790092,2.500000
195.306984,52.353978,4.922682,3.970908,4.190000,353.799988,3.790092,2.500000
196.306984,52.354014,4.922656,4.053647,4.140000,339.399994,3.790092,2.500000
197.306984,52.354046,4.922620,3.734030,4.130000,329.200012,3.790092,2.500000
198.306984,52.354075,4.922581,3.555583,3.970000,329.000000,3.790092,2.500000
199.306984,52.354103,4.922545,3.645567,3.760000,329.000000,3.790092,2.500000
200.306984,52.354131,4.922511,3.230609,3.780000,329.799988,3.790092,2.500000
201.306984,52.354159,4.922479,3.411234,3.800000,332.100006,3.790092,2.500000
202.306984,52.354186,4.922447,3.465269,3.450000,330.600006,3.790092,2.500000
203.306984,52.354212,4.922417,3.819720,3.390000,332.700012,3.790092,2.500000
204.306984,52.354234,4.922388,4.208163,2.880000,326.399994,3.790092,2.500000
205.306984,52.354251,4.922358,3.767800,2.530000,318.700012,3.790092,2.500000
206.306984,52.354261,4.922320,3.892548,2.780000,295.899994,3.790092,2.500000
207.306984,52.354262,4.922274,3.964728,3.220000,272.899994,3.790092,2.500000
208.306984,52.354259,4.922230,3.956947,2.470000,265.200012,3.790092,2.500000
209.306984,52.354251,4.922195,2.413275,2.540000,253.899994,3.790092,2.500000
210.306984,52.354246,4.922160,3.412576,2.820000,261.700012,3.790092,2.500000
211.306984,52.354234,4.922117,3.252806,3.940000,248.699997,3.790092,2.500000
212.306984,52.354219,4.922073,3.187024,3.550000,247.000000,3.790092,2.500000
213.306984,52.354204,4.922032,3.445524,3.430000,239.399994,3.790092,2.500000
214.306984,52.354188,4.921991,3.385175,3.610000,240.399994,3.790092,2.500000
215.306984,52.354171,4.921948,3.067317,3.660000,239.100006,3.790092,2.500000
216.306984,52.354156,4.921907,3.822520,3.410000,239.100006,3.790092,2.500000
217.306984,52.354140,4.921865,3.574550,3.470000,239.199997,3.790092,2.500000
218.306984,52.354128,4.921821,4.059674,3.540000,245.800003,3.790092,2.500000
219.306984,52.354115,4.921774,4.101500,3.690000,243.199997,3.790092,2.500000
220.306984,52.354100,4.921727,4.128123,3.840000,239.800003,3.790092,2.500000
221.306984,52.354085,4.921680,4.964318,3.530000,239.800003,3.790092,2.500000
222.306984,52.354074,4.921638,6.688765,3.090000,243.399994,3.790092,2.500000
