"event","experiment time","system time","system time text"
"START",0.000000000E0,1718279572.967,"2024-06-13 13:52:52.967 UTC+02:00"
"PAUSE",7.629850974E2,1718280335.952,"2024-06-13 14:05:35.952 UTC+02:00"
